Model, Re,Lo,Ho,Delta Cp
FVM 100, 100,0.20001892439077709,0.32318366672566323,21.153
FVM 100, 200,0.2628269560396358,0.34172053451636752,14.8504
FVM 100, 300,0.34870832681146052,0.36289190280108419,12.5456
FVM 100, 400,0.35206991055511622,0.37581774717679162,11.3025
FVM 100, 500,0.33507308853700485,0.37705971540816163,10.5053
FVM 100, 600,0.35620153692545614,0.38006069979743973,9.9414
FVM 100, 700,0.59522336977552859,0.35746951937290705,9.53728
FVM 100, 800,0.64870713246377587,0.3520251207302878,9.2078
FVM 100, 900,0.77043031280293373,0.34155165862465242,8.94952
FVM 100, 1000,0.67282524794421872,0.35100472893341583,8.71076
