Name,P4 - Re,P6 - Ob_pos (m) ,P7 - Ob_H (m) ,P1 - Delta Cp,P8 - DSP (Pa) ,P10 - USP (Pa) 
1,300,0.20000091067942005,0.49999952664444591,12.9878,3.65692,10.1508
2,400,0.20000014960829515,0.49999996906646538,11.7635,2.7969,8.67864
3,500,0.20000771051267671,0.49999989713943438,10.9882,2.28327,7.77737
4,600,0.20000151383509915,0.49999999580708709,10.4561,1.94448,7.17255
5,700,0.20000022001106163,0.49999985027610017,10.059,1.70245,6.73197
6,800,0.20000381688097044,0.49999977874239077,9.75505,1.51768,6.39521
7,900,0.20000225973434144,0.49999999998102207,9.51481,1.37121,6.12862
8,1000,0.2000006636799645,0.49999989600135841,9.3161,1.25801,5.91606
9,300,0.21618312417734128,0.40779976652651206,12.5386,3.69226,9.96157
10,400,0.4951742885526263,0.35322881319969379,11.319,2.85007,8.50955
11,500,0.20262695007699369,0.40898301432289097,10.5166,2.34626,7.60454
12,600,0.2000322391037225,0.410609043251263,9.95365,2.02087,6.9977
13,700,0.24494684700688363,0.40446459804875468,9.52285,1.78586,6.54729
14,800,0.2757871360616283,0.40020565798920915,9.19144,1.62139,6.21711
15,900,0.29312437756283544,0.39871152112116209,8.92194,1.48649,5.94746
16,1000,0.31363282268242831,0.3964043437125146,8.69535,1.3796,5.72727
17,300,0.26184755751739691,0.39256070716268776,12.5393,3.66928,9.93895
18,400,0.32648560922923009,0.38889103814317372,11.301,2.85028,8.50077
19,500,0.30156223311384067,0.39813111794927392,10.5064,2.34712,7.60032
20,600,0.29317361029956313,0.40201138694882949,9.94783,2.02493,6.99885
21,700,0.33727772917914622,0.39467372092309022,9.51909,1.79277,6.55232
22,800,0.38900047078224825,0.38339365987273583,9.18542,1.61432,6.20703
23,900,0.40323570401899606,0.38114583021994342,8.91511,1.48756,5.94511
24,1000,0.41334610096461655,0.38154314981019066,8.69221,1.37932,5.72542
25,300,0.48747457973221869,0.35428929640848883,12.5655,3.68855,9.97131
26,400,0.49347147039500278,0.35830366450187856,11.3179,2.85756,8.51649
27,500,0.20000019076684455,0.41273375930414291,10.5151,2.34252,7.60006
28,600,0.20000026122723041,0.41781043310512989,9.95306,2.01884,6.99537
29,700,0.20000487279599005,0.41439345242997039,9.53379,1.78481,6.5517
30,800,0.23698104863988492,0.40432568659960172,9.19264,1.61241,6.20873
31,900,0.27939717287566457,0.3975317716946154,8.92007,1.48599,5.94602
32,1000,0.30226361866885221,0.39229764945446821,8.69291,1.37912,5.72557
33,300,0.53866359943291764,0.34007583509490652,12.5689,3.69836,9.98281
34,400,0.5060961693596937,0.354297027438878,11.3188,2.84618,8.50557
35,500,0.47657791628380475,0.36265181555594805,10.5145,2.35338,7.61062
36,600,0.47373827502640492,0.365646519802516,9.94943,2.02729,7.002
37,700,0.47412726458641985,0.36811711724842611,9.52216,1.79817,6.55925
38,800,0.46412410493235023,0.372044079438438,9.18909,1.61999,6.21453
39,900,0.44944615340391736,0.37586537154258859,8.91816,1.47898,5.93806
40,1000,0.42849263530950443,0.38118836496849307,8.69217,1.37828,5.72436
41,300,0.23985094636139825,0.38639758870196128,12.545,3.66816,9.94065
42,400,0.46990213523625368,0.35895816917051016,11.3143,2.84743,8.50459
43,500,0.45373739821721215,0.3675794355559735,10.5131,2.35386,7.61042
44,600,0.32597143953462893,0.39512455556425108,9.94158,2.02643,6.99722
45,700,0.30565148380640944,0.39926666097136243,9.51867,1.79568,6.55501
46,800,0.31131595379228105,0.39696861988071275,9.1878,1.62234,6.21624
47,900,0.33807781826083838,0.39104272938771273,8.91634,1.48491,5.94309
48,1000,0.40548873391361451,0.38130095508364081,8.69256,1.38157,5.72785
49,300,0.20000006263298836,0.10000012827344876,12.8259,3.67133,10.0843
50,400,0.20000008080473342,0.33642084827418112,11.4396,2.83382,8.55361
51,500,0.20000008988639761,0.33483511033951685,10.6705,2.3322,7.66747
52,600,0.200000051477991,0.33294006720656555,10.1378,1.99592,7.06481
53,700,0.2000000526561766,0.33226154681875691,9.74163,1.75188,6.6227
54,800,0.20000000368385912,0.33174538182276792,9.42998,1.57186,6.28685
55,900,0.20000109241673369,0.33241759151472244,9.18107,1.43555,6.02609
56,1000,0.20000096931433853,0.3305276414565731,8.98507,1.31797,5.81051
57,300,0.60162763757985827,0.43321855631761563,12.8064,3.6635,10.0667
58,400,0.59974970142155937,0.43253418340242777,11.5256,2.83186,8.59467
59,500,0.59296160632100725,0.43218290202230764,10.6972,2.33086,7.67944
60,600,0.84635008335655293,0.30679359360841651,9.99848,2.02933,7.02857
61,700,0.84655393882152685,0.30462360920171228,9.56974,1.79049,6.57536
62,800,0.8490201513107104,0.31031780919046215,9.23124,1.60747,6.22309
63,900,0.59411894520843656,0.31016604847748752,8.96102,1.47019,5.9507
64,1000,0.84786643492001212,0.30896864956228776,8.73296,1.37097,5.73745
65,300,0.2832864353676236,0.38994258537522863,12.5396,3.66937,9.93915
66,400,0.21903114130639659,0.33680715348460655,11.4202,2.83767,8.54776
67,500,0.21819913880724315,0.34271475900957682,10.6299,2.34456,7.6595
68,600,0.21803139479360945,0.39941821612662687,9.95799,2.02384,7.00284
69,700,0.21880684995992422,0.39984431084295607,9.53323,1.79841,6.56503
70,800,0.21736123367078033,0.39565224732404169,9.21216,1.61089,6.21697
71,900,0.2119980724302522,0.35497223159268509,9.07119,1.44732,5.98291
72,1000,0.21776436635822147,0.39563030909807373,8.72435,1.36455,5.72672
73,300,0.46371333391167241,0.44434206670414905,12.7606,3.66759,10.0479
74,400,0.638662908351832,0.39012501000378341,11.4052,2.8477,8.55029
75,500,0.64009935770597493,0.38859052189105869,10.5868,2.35157,7.64498
76,600,0.64357386727368682,0.39119575242720461,10.0184,2.01623,7.0254
77,700,0.64316055500618219,0.39278160794252404,9.59045,1.77852,6.57375
78,800,0.64391776579741977,0.38843064696679941,9.24329,1.60837,6.23001
79,900,0.65137973750125577,0.39330756242369969,8.97853,1.48248,5.97174
80,1000,0.63983317135927154,0.3109157742725942,8.7325,1.37055,5.7368
81,300,0.21638830176472162,0.39158779271540772,12.5477,3.68098,9.95482
82,400,0.21701976188274574,0.40061082163080064,11.3072,2.84687,8.50047
83,500,0.21544511731988758,0.49999990954449447,11.0003,2.27352,7.77368
84,600,0.21467997760601726,0.49999987939581614,10.4616,1.94419,7.17501
85,700,0.21456059498736413,0.499999934531142,10.0675,1.70071,6.73447
86,800,0.21461686761969034,0.49999997774016514,9.7617,1.51793,6.39877
87,900,0.21201609810597369,0.4999999512032009,9.51939,1.37334,6.13303
