Name ,P4 - Re,P6 - Ob_pos [m],P7 - Ob_H [m],P1 - Delta Cp,P5 - Delta Cptot,P8 - DSP [Pa],P9 - DSPtot [Pa],P10 - USP [Pa],P11 - USPtot [Pa]
DP 1,849.99999999999989,0.97333333333333338,0.011966666666666667,3.38912,0.868259,0.942225,3.26604,2.63679,3.70017
DP 2,969.99999999999989,0.28,0.033900000000000007,3.30754,0.795424,0.84774,3.16714,2.50151,3.56486
DP 3,130,0.65333333333333332,0.055833333333333346,6.24385,3.53936,4.48613,6.9069,7.60805,8.67657
DP 4,190,0.33333333333333337,0.077766666666666678,5.28517,2.61792,3.15765,5.55861,5.80023,6.86758
DP 5,250.00000000000003,0.8666666666666667,0.0997,4.73873,2.10462,2.48627,4.87008,4.85563,5.92239
DP 6,489.99999999999994,0.49333333333333335,0.12163333333333333,3.80876,1.24932,1.43607,3.78043,3.34045,4.40509
DP 7,550,0.54666666666666663,0.14356666666666665,3.66903,1.12697,1.32202,3.65738,3.15653,4.22086
DP 8,370,0.38666666666666671,0.1655,4.11655,1.53097,1.79939,4.15775,3.85766,4.92323
DP 9,610,0.81333333333333324,0.18743333333333334,3.53992,1.01817,1.23617,3.56116,3.00613,4.07025
DP 10,790,0.60000000000000009,0.20936666666666667,3.30272,0.812184,1.03082,3.33964,2.68218,3.74573
DP 11,430,0.44,0.2313,3.89717,1.33693,1.60933,3.95455,3.55791,4.62301
DP 12,909.99999999999989,0.76,0.25323333333333331,3.22317,0.744298,0.935727,3.2386,2.54731,3.61075
DP 13,670,0.91999999999999993,0.27516666666666667,3.54535,1.02025,1.13892,3.46549,2.91159,3.97562
DP 14,730,0.22666666666666668,0.2971,3.38174,0.879154,1.08817,3.40329,2.77904,3.84286
DP 15,310,0.70666666666666678,0.31903333333333334,4.58607,1.95697,2.04211,4.4228,4.33514,5.40128
DP 16,340,1.0233333333333334,0.33645,4.6468,2.00336,1.85254,4.24027,4.17594,5.24195
DP 17,760,0.33,0.31335,3.40463,0.895284,1.03889,3.3573,2.74121,3.80494
DP 18,700,0.70333333333333337,0.29025,3.49656,0.976737,1.10609,3.4299,2.85437,3.91827
DP 19,940,0.38333333333333336,0.26715,3.16799,0.697783,0.921191,3.21969,2.50519,3.56859
DP 20,460,0.91666666666666663,0.24405,3.89015,1.3294,1.51157,3.85685,3.4566499999999998,4.52155
DP 21,820,0.54333333333333333,0.22095,3.26966,0.784117,1.01032,3.31664,2.64515,3.70869
DP 22,640,0.59666666666666668,0.19785,3.48695,0.9715,1.19754,3.51923,2.94102,4.00498
DP 23,400,0.43666666666666665,0.17475,4.00635,1.43203,1.69414,4.04662,3.69732,4.76263
DP 24,580,0.86333333333333329,0.013049999999999999,3.68461,1.13157,1.23958,3.57989,3.08189,4.14567
DP 25,520,0.65,0.03615,3.78414,1.22286,1.35154,3.69688,3.24361,4.30831
DP 26,280,0.49,0.059250000000000004,4.56256,1.93787,2.24543,4.6245,4.52672,5.59344
DP 27,220,0.80999999999999994,0.082349999999999993,4.97893,2.32942,2.77567,5.16757,5.26514,6.33228
DP 28,160,0.97,0.10544999999999999,5.68793,3.0048,3.69845,6.10809,6.54242,7.61049
DP 29,1000,0.27666666666666667,0.12854999999999997,3.26771,0.763867,0.827744,3.14301,2.4616,3.52495
DP 30,880,0.75666666666666671,0.15164999999999998,3.25267,0.764858,0.951815,3.2591,2.57815,3.64153
