"Points:0","Points:1","Points:2","Pressure","Velocity:0","Velocity:1"
-5.80041409e+00, 1.77931041e-01, 0.00000000e+00, 5.95155764e+00, 1.16892898e+00, -3.27854184e-04
-5.82367182e+00, 1.35713279e-01, 0.00000000e+00, 5.95137978e+00, 9.39389884e-01, -1.42674864e-04
-5.84267473e+00, 1.71136677e-01, 0.00000000e+00, 5.95096636e+00, 1.13327765e+00, -3.96889402e-04
-5.10067701e+00, 1.82886720e-01, 0.00000000e+00, 5.94204712e+00, 1.19258642e+00, -1.43345766e-04
-5.12579632e+00, 1.39467865e-01, 0.00000000e+00, 5.94240141e+00, 9.60253537e-01, -2.32400518e-04
-5.15076256e+00, 1.82881728e-01, 0.00000000e+00, 5.94274092e+00, 1.19271028e+00, -1.57987786e-04
-5.02561045e+00, 1.39471397e-01, 0.00000000e+00, 5.94100189e+00, 9.60190654e-01, -2.07890407e-04
-5.05058479e+00, 1.82890564e-01, 0.00000000e+00, 5.94134951e+00, 1.19246066e+00, -1.31788693e-04
-5.00050116e+00, 1.82900310e-01, 0.00000000e+00, 5.94064808e+00, 1.19236922e+00, -1.23257545e-04
-5.57669258e+00, 1.39461741e-01, 0.00000000e+00, 5.94852448e+00, 9.60496008e-01, -4.58302879e-04
-5.60167313e+00, 1.82801604e-01, 0.00000000e+00, 5.94877672e+00, 1.19367170e+00, -4.02237667e-04
-5.55163383e+00, 1.82915986e-01, 0.00000000e+00, 5.94814873e+00, 1.19408524e+00, -3.37362639e-04
-5.87084723e+00, 1.38758227e-01, 0.00000000e+00, 5.95181513e+00, 9.55024898e-01, -8.27399781e-04
-5.88219070e+00, 1.90976158e-01, 0.00000000e+00, 5.95154524e+00, 1.23617852e+00, -3.88327957e-04
-5.52661324e+00, 1.39491409e-01, 0.00000000e+00, 5.94784546e+00, 9.60620105e-01, -4.12476511e-04
-5.07570124e+00, 1.39468089e-01, 0.00000000e+00, 5.94170332e+00, 9.60214138e-01, -2.19049980e-04
-5.17588949e+00, 1.39466956e-01, 0.00000000e+00, 5.94309568e+00, 9.60285902e-01, -2.47839605e-04
-5.62676716e+00, 1.39414430e-01, 0.00000000e+00, 5.94919586e+00, 9.60302293e-01, -5.22730930e-04
-5.65172625e+00, 1.82618439e-01, 0.00000000e+00, 5.94938231e+00, 1.19291759e+00, -5.13205654e-04
-4.97551584e+00, 1.39473632e-01, 0.00000000e+00, 5.94029713e+00, 9.60159838e-01, -1.98947921e-04
-4.95041466e+00, 1.82907969e-01, 0.00000000e+00, 5.93994474e+00, 1.19227302e+00, -1.18088290e-04
-5.40130663e+00, 1.82904720e-01, 0.00000000e+00, 5.94615889e+00, 1.19358540e+00, -2.56930362e-04
-5.42640638e+00, 1.39483929e-01, 0.00000000e+00, 5.94651079e+00, 9.60516870e-01, -3.43300286e-04
-5.45143509e+00, 1.82930738e-01, 0.00000000e+00, 5.94682121e+00, 1.19386744e+00, -2.80614826e-04
-5.20086384e+00, 1.82883948e-01, 0.00000000e+00, 5.94343281e+00, 1.19287312e+00, -1.75239067e-04
-5.22598743e+00, 1.39467776e-01, 0.00000000e+00, 5.94378757e+00, 9.60324645e-01, -2.64597824e-04
-5.25095797e+00, 1.82877243e-01, 0.00000000e+00, 5.94412231e+00, 1.19299150e+00, -1.94108317e-04
-4.92542315e+00, 1.39477700e-01, 0.00000000e+00, 5.93958950e+00, 9.60139215e-01, -1.92605308e-04
-4.90031719e+00, 1.82913601e-01, 0.00000000e+00, 5.93923759e+00, 1.19217277e+00, -1.16395488e-04
-5.27608585e+00, 1.39466777e-01, 0.00000000e+00, 5.94447565e+00, 9.60348308e-01, -2.81718647e-04
-5.30106831e+00, 1.82881549e-01, 0.00000000e+00, 5.94480896e+00, 1.19316471e+00, -2.13821681e-04
-5.47651386e+00, 1.39492407e-01, 0.00000000e+00, 5.94717550e+00, 9.60592687e-01, -3.75089119e-04
-5.50155735e+00, 1.82951510e-01, 0.00000000e+00, 5.94748640e+00, 1.19411862e+00, -3.04850633e-04
-5.67681646e+00, 1.39331982e-01, 0.00000000e+00, 5.94985294e+00, 9.59967077e-01, -5.87816699e-04
-5.70193100e+00, 1.82459801e-01, 0.00000000e+00, 5.95014334e+00, 1.19218314e+00, -6.10608375e-04
-5.37629557e+00, 1.39473528e-01, 0.00000000e+00, 5.94583988e+00, 9.60434020e-01, -3.18523322e-04
-5.35117912e+00, 1.82884410e-01, 0.00000000e+00, 5.94548941e+00, 1.19333076e+00, -2.34542269e-04
-5.32618952e+00, 1.39469638e-01, 0.00000000e+00, 5.94516087e+00, 9.60389674e-01, -2.99131789e-04
-4.85022545e+00, 1.82922587e-01, 0.00000000e+00, 5.93852711e+00, 1.19209623e+00, -1.18479737e-04
-4.87532520e+00, 1.39479443e-01, 0.00000000e+00, 5.93887806e+00, 9.60107625e-01, -1.88976555e-04
-5.91584396e+00, 1.43387958e-01, 0.00000000e+00, 5.95372963e+00, 9.78941977e-01, -1.60596520e-03
-5.92632866e+00, 1.86496019e-01, 0.00000000e+00, 5.95304775e+00, 1.21547592e+00, -7.67831225e-04
-5.72670794e+00, 1.39086291e-01, 0.00000000e+00, 5.95053816e+00, 9.58777428e-01, -5.54018421e-04
