
[Name]
Plane P1

[Data]
X [ m ], Y [ m ], Z [ m ], Area [ m^2 ], Pressure [ Pa ], Total Pressure [ Pa ]
-2.00000000e+00, 1.14745662e-01, -1.99999996e-02, 3.44600820e-04, 9.13011074e+00, 9.46289825e+00
-2.00000000e+00, 1.14745662e-01, 1.99999996e-02, 3.44600820e-04, 9.13011074e+00, 9.46289825e+00
-2.00000000e+00, 1.01138771e-01, 1.99999996e-02, 2.82133959e-04, 9.13018894e+00, 9.39958954e+00
-2.00000000e+00, 1.01138771e-01, -1.99999996e-02, 2.82133959e-04, 9.13018894e+00, 9.39958954e+00
-2.00000000e+00, 8.65322575e-02, 1.99999996e-02, 3.31359042e-04, 9.13021564e+00, 9.33255959e+00
-2.00000000e+00, 8.65322575e-02, -1.99999996e-02, 3.31359042e-04, 9.13021564e+00, 9.33255959e+00
-2.00000000e+00, 6.80028722e-02, -1.99999996e-02, 2.86456634e-04, 9.13070107e+00, 9.26725864e+00
-2.00000000e+00, 6.80028722e-02, 1.99999996e-02, 2.86456634e-04, 9.13070107e+00, 9.26725864e+00
-2.00000000e+00, 5.78865930e-02, 1.99999996e-02, 2.34169536e-04, 9.13102150e+00, 9.23170853e+00
-2.00000000e+00, 5.78865930e-02, -1.99999996e-02, 2.34169536e-04, 9.13102150e+00, 9.23170853e+00
-2.00000000e+00, 1.70078278e-01, -1.99999996e-02, 3.24784196e-04, 9.13145161e+00, 9.77687645e+00
-2.00000000e+00, 1.70078278e-01, 1.99999996e-02, 3.24784196e-04, 9.13145161e+00, 9.77687645e+00
-2.00000000e+00, 1.45291761e-01, 1.99999996e-02, 2.79511209e-04, 9.13074875e+00, 9.62932587e+00
-2.00000000e+00, 1.45291761e-01, -1.99999996e-02, 2.79511209e-04, 9.13074875e+00, 9.62932587e+00
-2.00000000e+00, 1.42127126e-01, 1.99999996e-02, 9.69293760e-05, 9.13065338e+00, 9.61083317e+00
-2.00000000e+00, 1.42127126e-01, -1.99999996e-02, 9.69293760e-05, 9.13065338e+00, 9.61083317e+00
-2.00000000e+00, 1.35598838e-01, 1.99999996e-02, 2.73814483e-04, 9.13051224e+00, 9.57574463e+00
-2.00000000e+00, 1.35598838e-01, -1.99999996e-02, 2.73814483e-04, 9.13051224e+00, 9.57574463e+00
