
[Name]
center

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ]
-3.74945283e+00, 7.45666027e-02, 0.00000000e+00, 2.50223875e+00, 5.98132789e-01, -1.25194155e-03
-3.79952192e+00, 7.50439838e-02, 0.00000000e+00, 2.50297260e+00, 6.00191236e-01, -1.23345829e-03
-3.77289605e+00, 1.17881395e-01, 0.00000000e+00, 2.50264359e+00, 8.40665460e-01, -1.66866579e-03
-3.89966011e+00, 7.59987459e-02, 0.00000000e+00, 2.50441241e+00, 6.04415178e-01, -1.19559374e-03
-3.94972920e+00, 7.64761269e-02, 0.00000000e+00, 2.50512528e+00, 6.06565356e-01, -1.16658129e-03
-3.92317295e+00, 1.19319469e-01, 0.00000000e+00, 2.50480652e+00, 8.47985089e-01, -1.57714833e-03
-4.04986763e+00, 7.74308816e-02, 0.00000000e+00, 2.50651503e+00, 6.10800564e-01, -1.08157983e-03
-4.09993649e+00, 7.79082626e-02, 0.00000000e+00, 2.50718808e+00, 6.12786651e-01, -1.09226839e-03
-4.07417870e+00, 1.20872155e-01, 0.00000000e+00, 2.50687385e+00, 8.56075048e-01, -1.50193332e-03
-4.20007467e+00, 7.88630247e-02, 0.00000000e+00, 2.50861716e+00, 6.16598189e-01, -1.11812132e-03
-4.25014400e+00, 7.93404058e-02, 0.00000000e+00, 2.50934792e+00, 6.18686020e-01, -1.08055468e-03
-4.22472286e+00, 1.21672824e-01, 0.00000000e+00, 2.50908422e+00, 8.60137939e-01, -1.41674886e-03
-3.82295847e+00, 1.18337370e-01, 0.00000000e+00, 2.50336766e+00, 8.42974961e-01, -1.63939595e-03
-3.87304544e+00, 1.18817009e-01, 0.00000000e+00, 2.50408435e+00, 8.45419943e-01, -1.61130901e-03
-3.84640908e+00, 1.61588669e-01, 0.00000000e+00, 2.50372100e+00, 1.08103490e+00, -1.76127243e-03
-3.84959102e+00, 7.55213648e-02, 0.00000000e+00, 2.50369644e+00, 6.02285802e-01, -1.21501030e-03
-3.72285199e+00, 1.17418922e-01, 0.00000000e+00, 2.50190687e+00, 8.38331819e-01, -1.70073949e-03
-4.35028219e+00, 8.02951604e-02, 0.00000000e+00, 2.51076818e+00, 6.23340547e-01, -1.02740724e-03
-4.40035105e+00, 8.07725415e-02, 0.00000000e+00, 2.51145720e+00, 6.25658035e-01, -1.01388583e-03
-4.37384748e+00, 1.23107418e-01, 0.00000000e+00, 2.51112413e+00, 8.68005872e-01, -1.27426896e-03
-4.30021286e+00, 7.98177794e-02, 0.00000000e+00, 2.51006675e+00, 6.20956838e-01, -1.04739203e-03
-4.27441883e+00, 1.22007035e-01, 0.00000000e+00, 2.50977325e+00, 8.61938596e-01, -1.31496380e-03
-4.45042038e+00, 8.12499225e-02, 0.00000000e+00, 2.51214242e+00, 6.27962947e-01, -1.00629590e-03
-4.50048923e+00, 8.17273036e-02, 0.00000000e+00, 2.51282549e+00, 6.30213141e-01, -9.96269868e-04
-4.47359467e+00, 1.24130495e-01, 0.00000000e+00, 2.51249528e+00, 8.73616159e-01, -1.27759774e-03
-4.17480612e+00, 1.21404253e-01, 0.00000000e+00, 2.50832891e+00, 8.58777821e-01, -1.51827885e-03
-4.15000582e+00, 7.83856437e-02, 0.00000000e+00, 2.50788760e+00, 6.14669740e-01, -1.11981772e-03
-4.02375460e+00, 1.20392278e-01, 0.00000000e+00, 2.50622678e+00, 8.53534520e-01, -1.49488333e-03
-3.99979830e+00, 7.69535080e-02, 0.00000000e+00, 2.50583076e+00, 6.08708382e-01, -1.12179341e-03
-4.55055857e+00, 8.22046846e-02, 0.00000000e+00, 2.51350784e+00, 6.32466018e-01, -9.86298779e-04
-4.60062742e+00, 8.26820582e-02, 0.00000000e+00, 2.51418948e+00, 6.34707391e-01, -9.77155403e-04
-4.57355118e+00, 1.25035495e-01, 0.00000000e+00, 2.51386452e+00, 8.78584743e-01, -1.25425810e-03
-3.97341466e+00, 1.19852424e-01, 0.00000000e+00, 2.50553322e+00, 8.50720704e-01, -1.53213169e-03
-3.99734592e+00, 1.63331121e-01, 0.00000000e+00, 2.50589943e+00, 1.08999312e+00, -1.61915447e-03
-4.65069675e+00, 8.31594393e-02, 0.00000000e+00, 2.51486993e+00, 6.36976540e-01, -9.68840555e-04
-4.70076561e+00, 8.36368203e-02, 0.00000000e+00, 2.51554871e+00, 6.39252901e-01, -9.61534563e-04
-4.67359591e+00, 1.25911728e-01, 0.00000000e+00, 2.51522613e+00, 8.83429408e-01, -1.21705851e-03
-4.32408381e+00, 1.22483917e-01, 0.00000000e+00, 2.51044631e+00, 8.64557445e-01, -1.27805490e-03
-4.75083494e+00, 8.41142014e-02, 0.00000000e+00, 2.51622462e+00, 6.41574800e-01, -9.55902098e-04
-4.80090380e+00, 8.45915824e-02, 0.00000000e+00, 2.51689553e+00, 6.43931746e-01, -9.52023605e-04
-4.77366543e+00, 1.26798823e-01, 0.00000000e+00, 2.51657152e+00, 8.88371468e-01, -1.17775728e-03
-4.19973326e+00, 1.63959712e-01, 0.00000000e+00, 2.50886035e+00, 1.09279883e+00, -1.48744322e-03
-4.24904108e+00, 1.63878918e-01, 0.00000000e+00, 2.50952172e+00, 1.09241498e+00, -1.34081789e-03
-4.12461329e+00, 1.21204779e-01, 0.00000000e+00, 2.50755811e+00, 8.57810438e-01, -1.53561123e-03
-4.14975262e+00, 1.64220095e-01, 0.00000000e+00, 2.50796580e+00, 1.09426165e+00, -1.63984939e-03
-4.85097313e+00, 8.50689560e-02, 0.00000000e+00, 2.51756310e+00, 6.46358430e-01, -9.49628884e-04
-4.90104198e+00, 8.55463371e-02, 0.00000000e+00, 2.51823401e+00, 6.48853421e-01, -9.38021869e-04
-4.87376976e+00, 1.27767324e-01, 0.00000000e+00, 2.51789927e+00, 8.93760681e-01, -1.14754087e-03
-4.34752226e+00, 1.65158808e-01, 0.00000000e+00, 2.51075745e+00, 1.09927893e+00, -1.28653436e-03
-4.39708376e+00, 1.65786907e-01, 0.00000000e+00, 2.51143384e+00, 1.10259271e+00, -1.29306782e-03
-4.95111132e+00, 8.60237181e-02, 0.00000000e+00, 2.51891184e+00, 6.51394784e-01, -9.03849024e-04
-5.00118017e+00, 8.65010992e-02, 0.00000000e+00, 2.51956701e+00, 6.53964579e-01, -8.52186990e-04
-4.97411060e+00, 1.29018530e-01, 0.00000000e+00, 2.51925874e+00, 9.00635064e-01, -1.11396238e-03
-4.44681978e+00, 1.66441202e-01, 0.00000000e+00, 2.51213145e+00, 1.10605550e+00, -1.28977478e-03
-4.49666882e+00, 1.66879952e-01, 0.00000000e+00, 2.51281929e+00, 1.10837102e+00, -1.27693324e-03
-5.05124950e+00, 8.69784802e-02, 0.00000000e+00, 2.52018046e+00, 6.56366348e-01, -8.31254525e-04
-5.10131884e+00, 8.74558613e-02, 0.00000000e+00, 2.52079225e+00, 6.58520758e-01, -8.39613262e-04
-5.07521963e+00, 1.30489007e-01, 0.00000000e+00, 2.52046180e+00, 9.08774972e-01, -1.20817823e-03
-4.54656076e+00, 1.67353034e-01, 0.00000000e+00, 2.51350999e+00, 1.11088347e+00, -1.25954906e-03
-4.59653044e+00, 1.67724222e-01, 0.00000000e+00, 2.51419163e+00, 1.11285329e+00, -1.23825762e-03
-5.15138769e+00, 8.79332349e-02, 0.00000000e+00, 2.52144003e+00, 6.60396457e-01, -8.23718728e-04
-5.20145702e+00, 8.84106159e-02, 0.00000000e+00, 2.52212048e+00, 6.62230790e-01, -7.95397151e-04
-5.17669344e+00, 1.31045312e-01, 0.00000000e+00, 2.52188683e+00, 9.11711693e-01, -1.18871371e-03
-4.64649391e+00, 1.68155208e-01, 0.00000000e+00, 2.51487446e+00, 1.11514854e+00, -1.21613243e-03
-4.69650078e+00, 1.68522984e-01, 0.00000000e+00, 2.51555014e+00, 1.11710417e+00, -1.19400304e-03
-4.29815769e+00, 1.64298475e-01, 0.00000000e+00, 2.51010728e+00, 1.09469044e+00, -1.28394936e-03
-3.79634380e+00, 1.61119968e-01, 0.00000000e+00, 2.50300097e+00, 1.07866240e+00, -1.79901766e-03
-3.74630237e+00, 1.60696432e-01, 0.00000000e+00, 2.50227404e+00, 1.07654715e+00, -1.84038305e-03
-4.74648523e+00, 1.68961674e-01, 0.00000000e+00, 2.51622367e+00, 1.11944127e+00, -1.17338449e-03
-4.79649734e+00, 1.69370607e-01, 0.00000000e+00, 2.51688528e+00, 1.12161803e+00, -1.15412602e-03
-4.42368603e+00, 1.23581417e-01, 0.00000000e+00, 2.51180911e+00, 8.70595694e-01, -1.27787783e-03
-5.25152588e+00, 8.88879970e-02, 0.00000000e+00, 2.52282023e+00, 6.64264143e-01, -7.57024391e-04
-5.22710276e+00, 1.31161094e-01, 0.00000000e+00, 2.52258778e+00, 9.12325144e-01, -1.07218535e-03
-4.84649992e+00, 1.69880554e-01, 0.00000000e+00, 2.51755238e+00, 1.12433195e+00, -1.13376963e-03
-4.89656496e+00, 1.70482501e-01, 0.00000000e+00, 2.51823831e+00, 1.12753224e+00, -1.10739295e-03
-4.52357054e+00, 1.24555163e-01, 0.00000000e+00, 2.51318097e+00, 8.75936925e-01, -1.26880337e-03
-4.94674587e+00, 1.71276480e-01, 0.00000000e+00, 2.51892495e+00, 1.13177836e+00, -1.08129380e-03
-4.99723911e+00, 1.72407433e-01, 0.00000000e+00, 2.51951742e+00, 1.13790798e+00, -1.08845485e-03
-4.62358284e+00, 1.25444695e-01, 0.00000000e+00, 2.51454687e+00, 8.80836725e-01, -1.23630394e-03
-4.92389059e+00, 1.28352478e-01, 0.00000000e+00, 2.51858282e+00, 8.96981537e-01, -1.12907041e-03
