
[Name]
center

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Total Pressure [ Pa ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ]
-3.74945283e+00, 7.45666027e-02, 0.00000000e+00, 2.50231147e+00, 2.68119383e+00, 5.98132789e-01, -1.25194131e-03
-3.79952192e+00, 7.50439838e-02, 0.00000000e+00, 2.50304532e+00, 2.68316102e+00, 6.00191236e-01, -1.23345794e-03
-3.77289605e+00, 1.17881395e-01, 0.00000000e+00, 2.50271630e+00, 2.85607696e+00, 8.40665460e-01, -1.66866602e-03
-3.89966011e+00, 7.59987459e-02, 0.00000000e+00, 2.50448513e+00, 2.68714476e+00, 6.04415178e-01, -1.19559315e-03
-3.94972920e+00, 7.64761269e-02, 0.00000000e+00, 2.50519800e+00, 2.68915939e+00, 6.06565297e-01, -1.16658071e-03
-3.92317295e+00, 1.19319469e-01, 0.00000000e+00, 2.50487924e+00, 2.86441970e+00, 8.47985089e-01, -1.57714810e-03
-3.82295847e+00, 1.18337370e-01, 0.00000000e+00, 2.50344038e+00, 2.85874510e+00, 8.42974961e-01, -1.63939595e-03
-3.87304544e+00, 1.18817009e-01, 0.00000000e+00, 2.50415730e+00, 2.86152601e+00, 8.45419943e-01, -1.61130889e-03
-3.84640908e+00, 1.61588669e-01, 0.00000000e+00, 2.50379372e+00, 3.08811355e+00, 1.08103490e+00, -1.76127313e-03
-3.84959102e+00, 7.55213648e-02, 0.00000000e+00, 2.50376940e+00, 2.68514419e+00, 6.02285802e-01, -1.21500983e-03
-3.72285199e+00, 1.17418922e-01, 0.00000000e+00, 2.50197983e+00, 2.85338116e+00, 8.38331819e-01, -1.70073984e-03
-4.02375460e+00, 1.20392278e-01, 0.00000000e+00, 2.50629950e+00, 2.87056136e+00, 8.53534520e-01, -1.49488286e-03
-3.99979830e+00, 7.69535080e-02, 0.00000000e+00, 2.50590348e+00, 2.69116688e+00, 6.08708382e-01, -1.12179283e-03
-3.97341466e+00, 1.19852424e-01, 0.00000000e+00, 2.50560617e+00, 2.86747003e+00, 8.50720704e-01, -1.53213134e-03
-3.99734592e+00, 1.63331121e-01, 0.00000000e+00, 2.50597215e+00, 3.10001588e+00, 1.08999312e+00, -1.61915482e-03
