# 
# 03/18/2024 20:25:45
# The parameters defined in the project are:
# ,P4 - Re,P6 - Ob_pos [m],P7 - Ob_H [m],P1 - Delta Cp,P5 - Delta Cptot
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P4,P6,P7,P1,P5
DP 0,1000,0.5,0.05,,
DP 1,995.50000000000034,0.78800000000000048,0.011600000000000001,3.26023,0.748657
DP 2,968.50000000000057,0.79600000000000048,0.0148,3.26069,0.751216
DP 3,185.5,0.24400000000000002,0.018000000000000002,5.15714,2.48976
DP 4,563.50000000000023,0.95600000000000063,0.021200000000000004,3.62569,1.07867
DP 5,581.50000000000023,0.49200000000000016,0.024399999999999998,3.62318,1.07125
DP 6,887.50000000000045,0.86800000000000055,0.0276,3.30808,0.793128
DP 7,815.50000000000045,0.38800000000000007,0.0308,3.37281,0.84936
DP 8,266.5,0.99600000000000022,0.034,4.51434,1.88634
DP 9,833.50000000000045,0.89200000000000057,0.0372,3.35256,0.83142
DP 10,194.5,0.4280000000000001,0.0404,5.06153,2.39895
DP 11,275.5,0.67600000000000027,0.0436,4.46186,1.83803
DP 12,824.50000000000045,0.228,0.0468,3.37035,0.846217
DP 13,644.50000000000023,0.316,0.049999999999999996,3.53611,0.994126
DP 14,149.5,0.58000000000000029,0.0532,5.62789,2.93935
DP 15,239.5,0.63600000000000023,0.0564,4.67859,2.04042
DP 16,509.50000000000023,0.46000000000000013,0.0596,3.73102,1.16952
DP 17,284.5,0.80400000000000049,0.062800000000000009,4.40794,1.78885
DP 18,482.50000000000017,0.34800000000000003,0.066,3.7875,1.21937
DP 19,131.5,0.75600000000000045,0.069200000000000012,5.953,3.25253
DP 20,932.50000000000057,0.20400000000000001,0.0724,3.2978,0.781785
DP 21,464.50000000000017,0.98000000000000065,0.075600000000000014,3.80103,1.23562
DP 22,842.50000000000045,0.41200000000000009,0.078800000000000009,3.34655,0.826595
DP 23,473.50000000000017,0.90800000000000058,0.082000000000000017,3.78009,1.21669
DP 24,779.50000000000045,0.83600000000000052,0.085200000000000026,3.35791,0.842597
DP 25,491.50000000000017,0.43600000000000011,0.0884,3.75502,1.19245
DP 26,365.50000000000011,0.85200000000000053,0.091600000000000015,4.06235,1.47275
DP 27,617.50000000000023,0.45200000000000012,0.094800000000000023,3.55366,1.01203
DP 28,851.50000000000045,0.62000000000000022,0.098000000000000018,3.30562,0.795861
DP 29,671.50000000000034,0.91600000000000059,0.10120000000000003,3.45311,0.928587
DP 30,302.50000000000006,0.252,0.10440000000000003,4.32569,1.71249
DP 31,554.50000000000023,0.28400000000000003,0.10760000000000003,3.65001,1.09751
DP 32,518.50000000000023,0.52400000000000024,0.11080000000000004,3.68736,1.13381
DP 33,212.49999999999997,0.62800000000000022,0.11400000000000003,4.86794,2.2199
DP 34,923.50000000000057,0.71600000000000041,0.11720000000000004,3.22412,0.729225
DP 35,446.50000000000017,0.268,0.12040000000000005,3.85261,1.28005
DP 36,329.50000000000006,0.54800000000000026,0.12360000000000004,4.18007,1.58123
