Name,P4 - Re,P6 - Ob_pos [m],P7 - Ob_H [m],P1 - Delta Cp,P8 - DSP [Pa],P10 - USP [Pa]
DP 1,718.18181818181733,0.43636363636363645,0.10181818181818182,9.91042,1.6719,6.62711
DP 2,1009.0909090909065,0.83636363636363509,0.10545454545454547,9.1683,1.26478,5.84893
DP 3,936.36363636363421,0.56,0.1090909090909091,9.34455,1.33841,6.01068
DP 4,1036.3636363636338,0.734545454545454,0.11272727272727273,9.13071,1.23343,5.79878
DP 5,999.9999999999975,0.64727272727272711,0.11636363636363636,9.20468,1.27245,5.87479
DP 6,472.72727272727286,0.48000000000000009,0.12000000000000001,11.0406,2.40107,7.92139
DP 7,90.9090909090909,0.56727272727272737,0.12363636363636364,22.4792,11.6594,22.8991
DP 8,63.636363636363633,0.37090909090909097,0.12727272727272729,28.2226,16.544,30.6554
DP 9,272.72727272727275,0.86545454545454414,0.13090909090909092,13.2149,4.01064,10.6181
DP 10,463.63636363636368,0.45818181818181825,0.13454545454545455,11.0936,2.45746,8.00426
DP 11,563.63636363636363,0.989090909090907,0.13818181818181818,10.4056,2.0899,7.29269
DP 12,336.36363636363637,0.99636363636363523,0.14181818181818184,12.2216,3.31568,9.42648
DP 13,372.72727272727275,0.69090909090909047,0.14545454545454548,11.8227,2.99881,8.91016
DP 14,754.54545454545348,0.59636363636363643,0.14909090909090911,9.72595,1.62075,6.48372
DP 15,263.63636363636368,0.27636363636363637,0.15272727272727274,13.4482,4.11561,10.8397
DP 16,72.72727272727272,0.84363636363636241,0.15636363636363637,25.8487,14.5093,27.4337
DP 17,200.00000000000003,0.2181818181818182,0.16000000000000003,15.0476,5.38241,12.9062
DP 18,709.09090909090833,0.87272727272727124,0.16363636363636364,9.77074,1.7268,6.61217
DP 19,845.4545454545439,0.40727272727272734,0.1672727272727273,9.52201,1.46235,6.22335
DP 20,109.09090909090909,0.20363636363636364,0.17090909090909093,20.2576,9.74214,19.8709
DP 21,436.36363636363649,0.3636363636363637,0.17454545454545456,11.2868,2.5976,8.24101
DP 22,599.99999999999977,0.53818181818181832,0.17818181818181822,10.2569,1.97026,7.09869
DP 23,990.90909090908849,0.44363636363636366,0.18181818181818185,9.18581,1.29266,5.88557
DP 24,318.18181818181819,0.42181818181818187,0.18545454545454548,12.4951,3.4693,9.71685
DP 25,390.90909090909093,0.34181818181818185,0.18909090909090912,11.6732,2.86911,8.70572
DP 26,927.27272727272521,0.25454545454545457,0.19272727272727275,9.36736,1.33871,6.02239
DP 27,827.27272727272577,0.8509090909090895,0.19636363636363641,9.34717,1.53206,6.20565
DP 28,890.90909090908906,0.610909090909091,0.20000000000000004,9.26306,1.43012,6.06165
DP 29,227.27272727272731,0.71272727272727221,0.20363636363636367,14.1424,4.77386,11.8451
DP 30,400.00000000000011,0.39272727272727281,0.20727272727272728,11.5483,2.81611,8.59026
DP 31,218.18181818181822,0.741818181818181,0.21090909090909093,14.3778,4.97023,12.1591
