"step","upstreamPressure_DP169_527,50-0,82-0,41=7.49971"
0,2.2043254
1000,7.954154
2000,7.716199
3000,7.41296
4000,7.52013
5000,7.534214
6000,7.636751
7000,7.5623674
8000,7.6036544
9000,6.950142
10000,7.6081014
11000,7.532991
12000,7.6664996
13000,7.5266266
14000,7.4698896
15000,7.4265924
16000,7.5365276
17000,7.5352297
18000,7.5228024
19000,7.499666
20000,7.503104
21000,7.361355
22000,7.4883785
23000,7.4933176
24000,7.5118017
25000,7.478623
26000,7.451415
27000,7.502777
28000,7.436296
29000,7.544147
30000,7.473511
31000,7.4720106
32000,7.464252
33000,7.424755
34000,7.4733315
35000,7.483901
36000,7.5255127
37000,7.482054
38000,7.5202336
39000,7.523746
40000,7.5352507
41000,7.472265
42000,7.5047026
43000,7.5132008
44000,7.5331035
45000,7.514868
46000,7.5556755
47000,7.4834404
48000,7.477763
49000,7.492404
50000,7.5044584
51000,7.570969
52000,7.48627
53000,7.5327826
54000,7.502457
55000,7.4994535
56000,7.5183883
57000,7.4903016
58000,7.494386
59000,7.485711
60000,7.5030756
61000,7.5017376
62000,7.5196886
63000,7.51569
64000,7.515518
65000,7.5318594
66000,7.5034995
67000,7.503665
68000,7.4975195
69000,7.5170784
70000,7.5237164
71000,7.482229
72000,7.4966216
73000,7.5044746
74000,7.5425735
75000,7.529447
76000,7.5473433
77000,7.509703
78000,7.5127506
79000,7.5020285
80000,7.5295625
81000,7.474969
82000,7.5303154
83000,7.4980273
84000,7.5025053
85000,7.5113955
86000,7.523256
87000,7.501889
88000,7.5262465
89000,7.4799743
90000,7.498084
91000,7.491448
92000,7.4905567
93000,7.5218744
94000,7.5207033
95000,7.5154257
96000,7.524008
97000,7.5137215
98000,7.4985723
99000,7.5087614
100000,7.5088243
