"step","upstreamPressure_DP171_977,50-0,58-0,45=5.84562"
0,3.2936876
1000,5.4216156
2000,5.3646917
3000,5.293478
4000,5.2710586
5000,5.3987017
6000,5.229883
7000,5.237114
8000,5.299645
9000,5.2255473
10000,5.2943444
11000,5.2550316
12000,5.3132033
13000,5.2920523
14000,5.3042374
15000,5.339155
16000,5.339716
17000,5.3996277
18000,5.414366
19000,5.407759
20000,5.4172144
21000,5.4271297
22000,5.4587307
23000,5.462962
24000,5.4987845
25000,5.4703417
26000,5.5105853
27000,5.51952
28000,5.4950147
29000,5.507772
30000,5.496185
31000,5.5120964
32000,5.5275583
33000,5.5271816
34000,5.5476723
35000,5.536008
36000,5.579956
37000,5.568637
38000,5.5676603
39000,5.5766068
40000,5.5842686
41000,5.577279
42000,5.598204
43000,5.615638
44000,5.600838
45000,5.602805
46000,5.608038
47000,5.6127415
48000,5.5969653
49000,5.5943737
50000,5.619241
51000,5.6300488
52000,5.634298
53000,5.6407185
54000,5.634694
55000,5.6513944
56000,5.6464095
57000,5.6244235
58000,5.6354723
59000,5.648114
60000,5.654228
61000,5.6489
62000,5.6515856
63000,5.6620874
64000,5.657568
65000,5.6473494
66000,5.651601
67000,5.6525226
68000,5.6518517
69000,5.6585827
70000,5.661219
71000,5.657876
72000,5.6654053
73000,5.6731396
74000,5.6624594
75000,5.663662
76000,5.664461
77000,5.666543
78000,5.6642203
79000,5.6671476
80000,5.6656275
81000,5.6740713
82000,5.6703415
83000,5.6734943
84000,5.6684995
85000,5.664819
86000,5.671112
87000,5.671129
88000,5.6704707
89000,5.6848574
90000,5.676768
91000,5.6819286
92000,5.6723537
93000,5.671802
94000,5.677032
95000,5.677462
96000,5.683173
97000,5.6792097
98000,5.675532
99000,5.6745567
100000,5.6789303
