"step","downstreamPressure_DP79_972,73-0,89-0,39=1.39173"
0,2.8692265
1000,1.6094617
2000,1.3128884
3000,1.3494271
4000,1.3454772
5000,1.3628025
6000,1.4571435
7000,1.4293256
8000,1.4292094
9000,1.3032881
10000,1.3700852
11000,1.4640617
12000,4.7648168
13000,1.4437282
14000,1.3465645
15000,1.3290787
16000,1.3821247
17000,1.4149296
18000,1.3599744
19000,1.400115
20000,1.382242
21000,1.3484583
22000,1.33939
23000,1.3681612
24000,1.3430568
25000,1.3486362
26000,1.3924704
27000,1.4077053
28000,1.4064419
29000,1.3590255
30000,1.3772454
31000,1.41663
32000,1.3627495
33000,1.3400364
34000,1.3818482
35000,1.3876269
36000,1.3716388
37000,1.3459362
38000,1.3904178
39000,1.3763864
40000,1.392483
41000,1.3723531
42000,1.3786751
43000,1.3674314
44000,1.4055777
45000,1.3840755
46000,1.3845981
47000,1.3968807
48000,1.4097168
49000,1.3844138
50000,1.4010003
51000,1.3965385
52000,1.3953934
53000,1.3953974
54000,1.3652804
55000,1.386109
56000,1.3683038
57000,1.354336
58000,1.3755777
59000,1.4010168
60000,1.3870771
61000,1.3920536
62000,1.3831155
63000,1.3886578
64000,1.3970654
65000,1.3934417
66000,1.3859675
67000,1.3911479
68000,1.3976423
69000,1.3912051
70000,1.3864336
71000,1.377521
72000,1.3848772
73000,1.3992491
74000,1.3767726
75000,1.3890382
76000,1.3984072
77000,1.396671
78000,1.3820001
79000,1.3961866
80000,1.3883348
81000,1.3886325
82000,1.4051665
83000,1.396922
84000,1.3814327
85000,1.3886788
86000,1.4052532
87000,1.3919888
88000,1.3921236
89000,1.3822236
90000,1.3890421
91000,1.3875037
92000,1.4047323
93000,1.385774
94000,1.3911766
95000,1.3889387
96000,1.3883275
97000,1.3912909
98000,1.3913906
99000,1.3922956
100000,1.4003023
