"step","upstreamPressure_DP101_849.99999999999989_0.97333333333333338_0.1705"
0.0,0.22538151
1000.0,2.6357698
2000.0,2.6374793
3000.0,2.6691065
4000.0,2.6408834
5000.0,2.6487412
6000.0,2.6126294
7000.0,2.6297283
8000.0,2.6095185
9000.0,2.649745
10000.0,2.630971
11000.0,2.6237166
12000.0,2.6600637
13000.0,2.6144679
14000.0,2.6351866722106934
15000.0,2.62774395942688
16000.0,2.6233644485473633
17000.0,2.615595817565918
18000.0,2.608128547668457
19000.0,2.611708164215088
20000.0,2.603461503982544
21000.0,2.609969139099121
22000.0,2.601339817047119
23000.0,2.6301207542419434
