"step","upstreamPressure_DP166_797,50-0,94-0,35=6.25159"
0,1.0352912
1000,-0.0011984217
2000,-0.0059182337
3000,-0.0072180443
4000,0.006782219
5000,0.012640533
6000,0.026848996
7000,0.052948162
8000,0.14450243
9000,0.31708187
10000,0.42290014
11000,0.9503635
12000,1.292768
13000,2.2087972
14000,3.0955825
15000,0.8215853
16000,3.3934693
17000,4.1221437
18000,4.8418217
19000,5.563836
20000,5.761602
21000,6.0520124
22000,6.3982105
23000,6.57935
24000,6.769705
25000,6.954336
26000,7.033903
27000,7.1311827
28000,7.2803526
29000,7.2599945
30000,7.374989
31000,7.5320406
32000,7.470125
33000,7.6027
34000,7.6589785
35000,7.7384405
36000,7.4673033
37000,7.741906
38000,7.7629156
39000,7.8126955
40000,7.7259336
41000,7.654665
42000,7.8225083
43000,7.895753
44000,7.7247257
45000,7.7314057
46000,7.5409102
47000,7.8044767
48000,7.878938
49000,7.7740965
50000,7.60974
51000,7.925365
52000,7.8559437
53000,7.8564816
54000,7.757372
55000,7.8310857
56000,7.8130836
57000,7.852246
58000,7.7968273
59000,7.829957
60000,7.8394823
61000,7.708991
62000,7.7869105
63000,7.8246
64000,7.8218613
65000,7.7651596
66000,7.8518643
67000,7.6715097
68000,6.85265
69000,7.7396064
70000,7.800292
71000,7.743547
72000,7.6878138
73000,7.7073565
74000,7.7210007
75000,7.726798
76000,7.648525
77000,7.649577
78000,7.503733
79000,7.6229625
80000,7.2998505
81000,7.561681
82000,7.6009874
83000,7.556443
84000,7.4539967
85000,7.547411
86000,7.5361114
87000,7.4613647
88000,7.524338
89000,7.5130796
90000,7.5524926
91000,7.4916854
92000,7.3831544
93000,7.2850423
94000,7.4539733
95000,7.3844
96000,7.3540115
97000,7.3761907
98000,7.2995605
99000,7.343974
100000,7.316135
