"step","downstreamPressure_DP154_482,50-0,38-0,11=2.36858"
0,-0.0988189
1000,0.012843984
2000,0.061624527
3000,0.13325238
4000,0.5475134
5000,0.8082069
6000,1.466362
7000,1.6655567
8000,1.9135776
9000,2.0877144
10000,2.0866542
11000,2.0690575
12000,2.1536002
13000,2.3826149
14000,2.1780448
15000,2.1685495
16000,2.216748
17000,2.419734
18000,2.424749
19000,2.1766334
20000,2.6362672
21000,2.6473563
22000,2.4990978
23000,2.5423028
24000,2.6904101
25000,2.4831228
26000,2.6473427
27000,2.676032
28000,2.6743073
29000,2.670693
30000,2.6066203
31000,2.6452105
32000,2.6813655
33000,2.6442733
34000,2.6373663
35000,2.659008
36000,2.576199
37000,2.6469383
38000,2.6313396
39000,2.6753364
40000,2.6477995
41000,2.720468
42000,2.6823144
43000,2.6114376
44000,2.7227967
45000,2.6393929
46000,2.7614644
47000,2.5588953
48000,2.704653
49000,2.728637
50000,2.7475173
51000,2.7053146
52000,2.7257972
53000,2.7103817
54000,2.721024
55000,2.7382112
56000,2.822052
57000,2.7795572
58000,2.7180471
59000,2.794574
60000,2.828908
61000,2.831678
62000,2.8070564
63000,2.7896256
64000,2.7965894
65000,2.8441112
66000,2.8164349
67000,2.8509207
68000,2.8512511
69000,2.8607957
70000,2.8469977
71000,2.8277278
72000,2.8241503
73000,2.844511
74000,2.8815842
75000,2.905121
76000,2.8784928
77000,2.8787482
78000,2.906344
79000,2.909193
80000,2.8862922
81000,2.891509
82000,2.9126267
83000,2.921399
84000,2.9015622
85000,2.9017506
86000,2.903013
87000,2.893028
88000,2.8957953
89000,2.8995512
90000,2.9019642
91000,2.921217
92000,2.8782413
93000,2.916491
94000,2.9275045
95000,2.8865256
96000,2.9219131
97000,2.892449
98000,2.9205847
99000,2.9040303
100000,2.913917
