"step","upstreamPressure_DP104_190_0.33333333333333337_0.20350000000000001"
0,-0.0029154187
1000,-0.010020407
2000,0.015369569
3000,0.05305005
4000,0.14770877
5000,0.27502868
6000,0.41662768
7000,0.5393712
8000,0.6695761
9000,0.80720013
10000,0.98419917
11000,1.133068
12000,1.2938979
13000,1.4621484
14000,1.6169627
15000,1.7300888
16000,1.8530016
17000,1.9965503
18000,2.0724063
19000,2.2033741
20000,2.2627187
21000,2.3096595
22000,2.4265578
23000,2.5035093
24000,2.5247364
25000,2.607144
26000,2.6257722
27000,2.6936328
28000,2.6069117
29000,2.7382278
30000,2.7983594
31000,2.849115
32000,2.7960284
33000,2.9054298
34000,2.930553
35000,2.9396415
36000,2.7599897
37000,2.9650056
38000,3.0309126
39000,2.999059
40000,3.0618942
41000,3.0560718
42000,3.0995188
43000,3.023852
44000,3.127027
45000,3.149562
46000,3.1525846
47000,3.1892538
48000,3.2498631
49000,3.142527
50000,3.1841636
51000,3.2307534
52000,3.2828636
53000,3.2992022
54000,3.250393
55000,3.262744
56000,3.33078
57000,3.3566706
58000,3.3807166
59000,3.396029
60000,3.379786
61000,3.3746355
62000,3.3830242
63000,3.4159486
64000,3.4117017
65000,3.4067092
66000,3.4602761
67000,3.4682047
68000,3.4414878
69000,3.4660738
70000,3.4495225
71000,3.4090352
72000,3.5198445
73000,3.5332503
74000,3.5477064
75000,3.4933634
76000,3.5658388
77000,3.5110075
78000,3.5983763
79000,3.5626209
80000,3.5018477
81000,3.574681
82000,3.6128755
83000,3.6264136
84000,3.597736
85000,3.640062
86000,3.5502458
87000,3.6402926
88000,3.6292043
89000,3.3892994
90000,3.59574
91000,3.6541014
92000,3.7063308
93000,3.721118
94000,3.6331043
95000,3.65598
96000,3.7310705
97000,3.8329387
98000,3.7357862
99000,3.756297
100000,3.724837
101000,3.6751828
102000,3.8007705
103000,3.7982132
104000,3.8546338
105000,3.8857377
106000,3.8980691
107000,3.7411065
108000,3.895219
109000,3.716832
110000,3.8708827
111000,3.9461446
112000,3.8983235
113000,3.857353
114000,3.554122
115000,3.734262
116000,3.8259335
117000,3.8934689
118000,3.9608643
119000,3.9037266
120000,3.9275415
121000,4.02236
122000,4.056774
123000,3.8878138
124000,4.0707703
125000,3.9676776
126000,4.0190306
127000,4.072713
128000,4.1006374
129000,4.0881176
130000,4.083217
131000,4.093587
132000,4.174392
133000,4.037171
134000,4.1588907
135000,4.1772127
136000,4.121895
137000,3.9298077
138000,4.222487
139000,4.214132
140000,4.21265
141000,4.245379
142000,4.2255554
143000,4.2795153
144000,4.2979364
145000,4.141179
146000,4.297514
147000,4.2743607
148000,4.3286366
149000,4.3477497
150000,4.3736553
151000,4.3312817
152000,4.2742705
153000,3.9867244
154000,4.3106933
155000,4.420656
156000,4.4342346
157000,4.4620852
158000,4.4592156
159000,4.432411
160000,4.4703455
161000,4.4985795
162000,4.5033226
163000,4.524821
164000,4.510089
165000,4.5385838
166000,4.4645615
167000,4.580761
168000,4.520423
169000,4.566126
170000,4.545662
171000,4.594128
172000,4.5462646
173000,4.6110387
174000,4.6182632
175000,4.6495924
176000,4.562457
177000,4.639102
178000,4.6802
179000,4.651971
180000,4.70629
181000,4.304946
182000,4.5491714
183000,4.6882076
184000,4.721452
185000,4.7512045
186000,4.744811
187000,4.7591
188000,4.610965
189000,4.776536
190000,4.7854066
191000,4.808872
192000,4.7975044
193000,4.806985
194000,4.8325663
195000,4.8361793
196000,4.831789
197000,4.846545
198000,4.821853
199000,4.8678083
200000,4.84569
201000,4.9034643
202000,4.9054413
203000,4.9322777
204000,4.88572
205000,4.9052634
206000,4.9413586
207000,4.929838
208000,4.937943
209000,4.9155354
210000,4.979514
211000,4.983534
212000,4.9775558
213000,4.9717503
214000,4.974637
215000,4.9984007
216000,5.0169334
217000,5.0115256
218000,5.016801
219000,5.029462
220000,5.021119
221000,5.0475035
222000,5.025627
223000,5.049547
224000,5.066375
225000,4.9976077
226000,5.070366
227000,5.0869083
228000,5.0250177
229000,5.048683
230000,5.0958176
231000,5.107006
232000,5.118854
233000,5.1062646
234000,5.117274
235000,5.11339
236000,5.1271834
237000,5.12813
238000,5.1326904
239000,5.1377954
240000,5.14734
241000,5.149935
242000,5.162186
243000,5.1530914
244000,5.182914
245000,5.174649
246000,5.164787
247000,5.1740713
248000,5.18915
249000,5.168561
250000,5.1980333
251000,5.197466
252000,5.2013063
253000,5.1914425
254000,5.2179646
255000,5.204837
256000,5.18552
257000,5.2159057
258000,5.227109
259000,5.234388
260000,5.242298
261000,5.242758
262000,5.240917
263000,5.2461605
264000,5.248931
265000,5.251962
266000,5.2547717
267000,5.254882
268000,5.2525177
269000,5.264844
270000,5.26655
271000,5.2670946
272000,5.2720222
273000,5.2803755
274000,5.27876
275000,5.2853985
276000,5.2834444
277000,5.298025
278000,5.297103
279000,5.297656
280000,5.2997723
281000,5.2964954
282000,5.302791
283000,5.3077307
284000,5.3106747
285000,5.3165736
286000,5.3110294
287000,5.311655
288000,5.321525
289000,5.316293
290000,5.324177
291000,5.322667
292000,5.3203754
293000,5.327888
294000,5.332283
295000,5.3308206
296000,5.3341856
297000,5.3358307
298000,5.3357806
299000,5.343505
300000,5.3470097
