"step","downstreamPressure_DP109_610_0.81333333333333324_0.2585"
0,-0.00019028803
1000,-0.0003969738
2000,0.0023140342
3000,0.010583457
4000,0.024061989
5000,0.030580381
6000,0.045753565
7000,0.06911381
8000,0.090029955
9000,0.11873306
10000,0.1505213
11000,0.19587511
12000,0.2389212
13000,0.28047663
14000,0.32978985
15000,0.3964435
16000,0.4613495
17000,0.5071591
18000,0.5939979
19000,0.66817415
20000,0.71355635
21000,0.7340182
22000,0.81727797
23000,0.85669106
24000,0.9272346
25000,0.9585035
26000,0.99601626
27000,1.0152726
28000,1.0502892
29000,1.0606661
30000,1.0296192
31000,1.1239078
32000,1.14395
33000,1.1440092
34000,1.1708047
35000,1.1670533
36000,1.1804302
37000,1.2035362
38000,1.2103457
39000,1.2351887
40000,1.2314091
41000,1.2247684
42000,1.2388797
43000,1.2507465
44000,1.2449074
45000,1.2563508
46000,1.2536134
47000,1.2988656
48000,1.277687
49000,1.2758467
50000,1.2892184
51000,1.2822496
52000,1.2976058
53000,1.2913417
54000,1.310817
55000,1.2972786
56000,1.296217
57000,1.312989
58000,1.2767317
59000,1.3028951
60000,1.3148365
61000,1.3091308
62000,1.3103197
63000,1.3165476
64000,1.3130631
65000,1.3225229
66000,1.3119895
67000,1.3046188
68000,1.3157507
69000,1.3450019
70000,1.3040419
71000,1.3417248
72000,1.3192723
73000,1.3248692
74000,1.313968
75000,1.3121703
76000,1.3101486
77000,1.3024278
78000,1.3118668
79000,1.3241637
80000,1.3143471
81000,1.3193281
82000,1.306247
83000,1.3081343
84000,1.3166118
85000,1.2947406
86000,1.3060827
87000,1.3078052
88000,1.2942822
89000,1.3068705
90000,1.3082216
91000,1.293323
92000,1.303832
93000,1.2883011
94000,1.2788135
95000,1.2864745
96000,1.2921404
97000,1.2772942
98000,1.2833223
99000,1.2713408
100000,1.2751958
101000,1.2834582
102000,1.2690456
103000,1.2721059
104000,1.2529113
105000,1.2692513
106000,1.2514099
107000,1.2606211
108000,1.2605407
109000,1.2528806
110000,1.2530853
111000,1.2528162
112000,1.244123
113000,1.2540548
114000,1.2374599
115000,1.2263463
116000,1.2387894
117000,1.232935
118000,1.2176139
119000,1.2293751
120000,1.2218695
121000,1.2219846
122000,1.2183638
123000,1.2326602
124000,1.2228739
125000,1.2100768
126000,1.2055721
127000,1.2114925
128000,1.2160623
129000,1.2098112
130000,1.1993608
131000,1.1997284
132000,1.1876063
133000,1.1871979
134000,1.1940751
135000,1.1862432
136000,1.1951306
137000,1.1753006
138000,1.174391
139000,1.171577
140000,1.1621077
141000,1.172959
142000,1.1660297
143000,1.1672952
144000,1.1681447
145000,1.1602008
146000,1.1570184
147000,1.1534451
148000,1.1664675
149000,1.1457727
150000,1.1408665
151000,1.1409038
152000,1.1422284
153000,1.1400414
154000,1.138294
155000,1.1431348
156000,1.1333218
157000,1.1382637
158000,1.1311097
159000,1.1315876
160000,1.1228068
161000,1.1165535
162000,1.1270276
163000,1.122891
164000,1.1121004
165000,1.1208898
166000,1.1197755
167000,1.1156723
168000,1.1095798
169000,1.1088064
170000,1.1191263
171000,1.0942278
172000,1.1061246
173000,1.0990591
174000,1.0980327
175000,1.1043706
176000,1.0908165
177000,1.0998242
178000,1.0897297
179000,1.1001391
180000,1.0748035
181000,1.0793936
182000,1.0914564
183000,1.1001678
184000,1.0981048
185000,1.0964209
186000,1.094185
187000,1.0909635
188000,1.0865446
189000,1.0839195
190000,1.072094
191000,1.0791721
192000,1.073884
193000,1.0781378
194000,1.07852
195000,1.0821373
196000,1.0812027
197000,1.0742036
198000,1.0706191
199000,1.0688138
200000,1.0638232
201000,1.0628996
202000,1.0599222
203000,1.0567164
204000,1.056427
205000,1.0537496
206000,1.0513949
207000,1.0514641
208000,1.0594871
209000,1.0433261
210000,1.0423368
211000,1.0439452
212000,1.0440369
213000,1.0397351
214000,1.0461377
215000,1.0431185
216000,1.0359955
217000,1.03958
218000,1.0377162
219000,1.034653
220000,1.0331712
221000,1.032793
222000,1.0293741
223000,1.0277543
224000,1.0273769
225000,1.0251629
226000,1.025341
227000,1.0258758
228000,1.025892
229000,1.0224074
230000,1.0222112
231000,1.024168
232000,1.0190402
233000,1.0160251
234000,1.0158353
235000,1.0162749
236000,1.0130296
237000,1.013525
238000,1.012007
239000,1.0119841
240000,1.0126219
241000,1.0095075
242000,1.0066637
243000,1.0077373
244000,1.0064139
245000,1.0078073
246000,1.0044339
247000,1.0039673
248000,1.0014124
249000,1.0019444
250000,0.9981697
251000,0.99976987
252000,0.9960127
253000,0.9984001
254000,0.99655306
255000,0.99484766
256000,0.99651194
257000,0.9952762
258000,0.992484
259000,0.99342656
260000,0.9921758
261000,0.99123955
262000,0.9891717
263000,0.99044496
264000,0.9906141
265000,0.98874193
266000,0.990248
267000,0.98764867
268000,0.9854109
269000,0.9868813
270000,0.98393077
271000,0.9829711
272000,0.98415256
273000,0.9838331
274000,0.9829211
275000,0.98290575
276000,0.9818251
277000,0.98241657
278000,0.979575
279000,0.9794427
280000,0.97918016
281000,0.9803748
282000,0.978304
283000,0.9779571
284000,0.97723234
285000,0.9752643
286000,0.9748143
287000,0.9734349
288000,0.975062
289000,0.9739152
290000,0.9733957
291000,0.9706958
292000,0.97406495
293000,0.97409433
294000,0.9721395
295000,0.9722533
296000,0.96993685
297000,0.9701365
298000,0.9699901
299000,0.9688226
300000,0.96988904
