"step","upstreamPressure_DP164_167,50-0,62-0,31=14.4744"
0,0.66523325
1000,0.0011726358
2000,-0.0014743308
3000,-0.0042107096
4000,0.0092832185
5000,0.015276255
6000,0.037404247
7000,0.08167362
8000,0.18726526
9000,0.42990765
10000,0.75658417
11000,1.097142
12000,0.93172395
13000,2.8785133
14000,3.8672943
15000,4.3978662
16000,5.294362
17000,5.703991
18000,6.04677
19000,6.3536596
20000,6.593379
21000,6.8367434
22000,7.0922194
23000,7.2248163
24000,7.3156157
25000,7.520526
26000,6.9425707
27000,7.685178
28000,7.862141
29000,7.837632
30000,8.045537
31000,8.066917
32000,8.372049
33000,8.527294
34000,8.603783
35000,8.594305
36000,8.785106
37000,8.782139
38000,8.780171
39000,8.674719
40000,8.962661
41000,8.712864
42000,9.13188
43000,9.277691
44000,9.392944
45000,9.377638
46000,9.632231
47000,9.570098
48000,9.789381
49000,9.562511
50000,10.066841
51000,9.90209
52000,9.836533
53000,9.930749
54000,9.91209
55000,10.165812
56000,10.424929
57000,10.334539
58000,10.098706
59000,10.222986
60000,10.4623165
61000,9.721775
62000,10.577448
63000,10.613972
64000,10.496164
65000,10.508184
66000,10.433538
67000,10.756857
68000,10.850136
69000,11.127762
70000,10.550596
71000,11.155758
72000,11.151426
73000,11.284342
74000,11.134467
75000,11.238592
76000,11.683231
77000,10.498602
78000,11.438566
79000,11.510212
80000,10.338249
81000,11.578472
82000,11.72412
83000,11.621147
84000,11.644503
85000,11.56249
86000,11.788396
87000,12.1453285
88000,11.295036
89000,12.001209
90000,11.99668
91000,12.071766
92000,12.226864
93000,12.372404
94000,12.171877
95000,12.113567
96000,12.073847
97000,12.533161
98000,12.448322
99000,12.553821
100000,12.171024
