"step","downstreamPressure_DP159_932,50-0,66-0,21=1.38966"
0,2.3335574
1000,1.6744852
2000,1.568874
3000,1.5186434
4000,1.4416265
5000,1.4821646
6000,1.4565896
7000,1.417047
8000,1.3759383
9000,1.400757
10000,1.3687284
11000,1.4113426
12000,1.4036335
13000,1.4037375
14000,1.3827429
15000,1.406798
16000,1.3914055
17000,1.4237592
18000,1.4067463
19000,1.4142025
20000,1.3844421
21000,1.4047611
22000,1.391912
23000,1.4161313
24000,1.4083301
25000,1.4035232
26000,1.4229372
27000,1.4127467
28000,1.4169986
29000,1.4019272
30000,1.4106458
31000,1.4259372
32000,1.4140434
33000,1.4292394
34000,1.4182189
35000,1.4265947
36000,1.4123062
37000,1.4036424
38000,1.4037151
39000,1.4182389
40000,1.4179873
41000,1.4191165
42000,1.4204715
43000,1.4078524
44000,1.4335774
45000,1.4175634
46000,1.4213338
47000,1.418018
48000,1.4276276
49000,1.4254408
50000,1.4208896
51000,1.4400547
52000,1.4130208
