"step","downstreamPressure_DP159_932,50-0,66-0,21=1.38966"
0.0,4.1995506
1000.0,1.8143449
2000.0,1.7333312
3000.0,1.7693262
4000.0,1.727176
5000.0,1.6774662
6000.0,1.5717626
7000.0,1.6594168
8000.0,1.5908755
9000.0,1.5520365
10000.0,1.5604942
11000.0,1.5441029
12000.0,1.5155774
13000.0,1.5147502
14000.0,1.498725
15000.0,1.4962571
16000.0,1.4871442
17000.0,1.4798672
18000.0,1.4697325
19000.0,1.479003
20000.0,1.4608042
21000.0,1.4635985
22000.0,1.4441849
23000.0,1.42997
24000.0,1.4379059
25000.0,1.4475598
26000.0,1.4430964
27000.0,1.4343641
28000.0,1.4362515
29000.0,1.4425054
30000.0,1.4226744
31000.0,1.435756
32000.0,1.4235064
33000.0,1.4416523
34000.0,1.4219055
35000.0,1.4337716
36000.0,1.4434376
37000.0,1.4288555
38000.0,1.4216567
39000.0,1.4248649
40000.0,1.4313066
41000.0,1.4184306
42000.0,1.4226454
43000.0,1.4200866
44000.0,1.4300796
45000.0,1.4252009
46000.0,1.4107068
47000.0,1.4145426
48000.0,1.4097488
49000.0,1.4144744
50000.0,1.4186673
51000.0,1.4140918
52000.0,1.4104083
53000.0,1.4105843
54000.0,1.4168489
55000.0,1.4071158
56000.0,1.4135703
57000.0,1.4089117
58000.0,1.3990068
59000.0,1.4072998
60000.0,1.4087166
61000.0,1.4107695
62000.0,1.4092193
63000.0,1.4088751
64000.0,1.4061723
65000.0,1.4039192
66000.0,1.3958805
67000.0,1.4045181
68000.0,1.4031001
69000.0,1.4023395
70000.0,1.3963237
71000.0,1.4012537
72000.0,1.3948793
73000.0,1.3998648
74000.0,1.3949418
75000.0,1.3861668
76000.0,1.3943024
77000.0,1.3927739
78000.0,1.3942262
79000.0,1.4029886
80000.0,1.3866051
81000.0,1.3912258
82000.0,1.3956934
83000.0,1.3886833
84000.0,1.3895077
85000.0,1.3972737
86000.0,1.3886117
87000.0,1.3906246
88000.0,1.3892382
89000.0,1.3916445
90000.0,1.385339
91000.0,1.3878732
92000.0,1.3990972
93000.0,1.3911564
94000.0,1.396047
95000.0,1.393043
96000.0,1.3878006
97000.0,1.3904887
98000.0,1.3927534
99000.0,1.3923988
100000.0,1.3893285
101000.0,1.4382002353668213
101000.0,1.4381910562515259
