"step","downstreamPressure_DP168_122,50-0,46-0,39=8.68628"
0.0,1.2383897
1000.0,8.866334
2000.0,8.763716
3000.0,8.714005
4000.0,8.445722
5000.0,8.785667
6000.0,8.6137
7000.0,8.799776
8000.0,8.8350315
9000.0,8.766228
10000.0,8.752996
11000.0,8.660036
12000.0,8.732504
13000.0,8.600692
14000.0,8.816065
15000.0,8.5968
16000.0,8.694093
17000.0,8.678917
18000.0,8.713483
19000.0,8.608111
20000.0,8.689222
21000.0,8.655464
22000.0,8.574305
23000.0,8.738443
24000.0,8.675556
25000.0,8.63796
26000.0,8.759029
27000.0,8.692419
28000.0,8.7835655
29000.0,8.713344
30000.0,8.7348995
31000.0,8.57128
32000.0,8.691928
33000.0,8.689912
34000.0,8.709879
35000.0,8.59882
36000.0,8.668775
37000.0,8.721137
38000.0,8.6364155
39000.0,8.613493
40000.0,8.717338
41000.0,8.732571
42000.0,8.617801
43000.0,8.705232
44000.0,8.696222
45000.0,8.70173
46000.0,8.649364
47000.0,8.708637
48000.0,8.749662
49000.0,8.634829
50000.0,8.765893
51000.0,8.677553
52000.0,8.648054
53000.0,8.621288
54000.0,8.705091
55000.0,8.670315
56000.0,8.679108
57000.0,8.700394
58000.0,8.685765
59000.0,8.670332
60000.0,8.683524
61000.0,8.677532
62000.0,8.673162
63000.0,8.699976
64000.0,8.694072
65000.0,8.71579
66000.0,8.666016
67000.0,8.7186
68000.0,8.7106905
69000.0,8.721546
70000.0,8.73321
71000.0,8.666935
72000.0,8.718594
73000.0,8.689998
74000.0,8.691246
75000.0,8.6573105
76000.0,8.718569
77000.0,8.69966
78000.0,8.699823
79000.0,8.699184
80000.0,8.694883
81000.0,8.69186
82000.0,8.686617
83000.0,8.660915
84000.0,8.694434
85000.0,8.696339
86000.0,8.706964
87000.0,8.700962
88000.0,8.729046
89000.0,8.67173
90000.0,8.715118
91000.0,8.703111
92000.0,8.716825
93000.0,8.70656
94000.0,8.730808
95000.0,8.691547
96000.0,8.706371
97000.0,8.710268
98000.0,8.727609
99000.0,8.682688
100000.0,8.703208
101000.0,8.517374038696289
102000.0,8.328373908996582
103000.0,8.168243408203125
104000.0,8.07797908782959
105000.0,7.948821067810059
106000.0,7.8655009269714355
107000.0,7.701694011688232
108000.0,7.636470794677734
109000.0,7.482916831970215
110000.0,7.443326950073242
111000.0,7.303041458129883
112000.0,7.186426639556885
113000.0,7.0673017501831055
114000.0,6.99516487121582
115000.0,7.029600143432617
116000.0,7.089242935180664
117000.0,7.082751274108887
118000.0,7.013375759124756
119000.0,7.050440788269043
120000.0,7.044214248657227
121000.0,7.093156337738037
122000.0,7.075168609619141
123000.0,7.096851825714111
124000.0,7.104085922241211
125000.0,7.102259159088135
126000.0,7.089058876037598
127000.0,7.026086330413818
128000.0,7.113234996795654
129000.0,7.109911918640137
130000.0,7.050741672515869
131000.0,7.161313533782959
132000.0,7.1306657791137695
133000.0,7.2393035888671875
134000.0,7.208207130432129
135000.0,7.226405143737793
136000.0,7.224923133850098
137000.0,7.199034690856934
138000.0,7.268756866455078
139000.0,7.255224704742432
140000.0,7.201966762542725
141000.0,7.281216621398926
142000.0,7.276611328125
143000.0,7.321025371551514
144000.0,7.34316349029541
145000.0,7.375415802001953
146000.0,7.371621131896973
147000.0,7.274208068847656
148000.0,7.317466735839844
149000.0,7.373065948486328
150000.0,7.364347457885742
151000.0,7.406322479248047
152000.0,7.436546325683594
153000.0,7.438105583190918
154000.0,7.450262069702148
155000.0,7.431994438171387
156000.0,7.402861595153809
157000.0,7.287333011627197
158000.0,7.411348342895508
159000.0,7.435532569885254
160000.0,7.492242336273193
161000.0,7.530037879943848
162000.0,7.484121322631836
163000.0,7.398633003234863
164000.0,7.520954132080078
165000.0,7.515219211578369
166000.0,7.560734272003174
167000.0,7.450921535491943
168000.0,7.356138229370117
169000.0,7.354101181030273
170000.0,7.38114070892334
171000.0,7.464691162109375
172000.0,7.527460098266602
173000.0,7.575704574584961
174000.0,7.56795597076416
175000.0,7.577146530151367
176000.0,7.597414970397949
177000.0,7.629767417907715
178000.0,7.659944534301758
179000.0,7.550798416137695
180000.0,7.552968978881836
181000.0,7.430290222167969
182000.0,7.493112564086914
