"step","upstreamPressure_DP157_617,50-0,90-0,17=7.00055"
0,3.7901888
1000,6.5350285
2000,6.600122
3000,6.674015
4000,6.619151
5000,6.8036427
6000,6.6428223
7000,6.7355857
8000,6.768673
9000,6.704927
10000,6.74631
11000,6.6744256
12000,6.7181025
13000,6.68363
14000,6.6885867
15000,6.6989737
16000,6.673073
17000,6.719806
18000,6.7147117
19000,6.696186
20000,6.6808558
21000,6.6800804
22000,6.69319
23000,6.674064
24000,6.7177935
25000,6.667719
26000,6.6767044
27000,6.711579
28000,6.672524
29000,6.678603
30000,6.67861
31000,6.6718163
32000,6.6603193
33000,6.677829
34000,6.679
35000,6.6832314
36000,6.6973386
37000,6.687298
38000,6.693589
39000,6.6974583
40000,6.7085166
41000,6.6988564
42000,6.6946344
43000,6.7087765
44000,6.6967535
45000,6.69452
46000,6.715441
47000,6.704976
48000,6.7030144
49000,6.679327
50000,6.701831
51000,6.7187147
52000,6.7119746
53000,6.7241144
54000,6.7246847
55000,6.72585
56000,6.7189693
57000,6.699761
58000,6.7101974
59000,6.718507
60000,6.7260942
61000,6.7140226
62000,6.721989
63000,6.7344356
64000,6.729351
65000,6.721181
66000,6.721427
67000,6.736846
68000,6.719016
69000,6.7280817
70000,6.7292
71000,6.7215004
72000,6.727673
73000,6.741763
74000,6.7316885
75000,6.7259374
76000,6.7300777
77000,6.733233
78000,6.732476
79000,6.7277765
80000,6.7326937
81000,6.7384624
82000,6.736801
83000,6.739426
84000,6.731348
85000,6.7322655
86000,6.7403984
87000,6.7309427
88000,6.732172
89000,6.7521257
90000,6.7447357
91000,6.7439213
92000,6.740205
93000,6.7456117
94000,6.7455435
95000,6.743102
96000,6.748539
97000,6.746475
98000,6.7387705
99000,6.7408113
100000,6.7415495
