"step","downstreamPressure_DP172_842,50-0,42-0,47=1.5114"
0,2.072908
1000,1.8666054
2000,1.426575
3000,1.5667634
4000,1.5380105
5000,1.5334865
6000,1.5979283
7000,1.55598
8000,1.5700482
9000,1.4461653
10000,1.5136896
11000,1.6032803
12000,4.8543105
13000,1.6079245
14000,1.5066918
15000,1.482352
16000,1.5369879
17000,1.5600607
18000,1.5118258
19000,1.5483809
20000,1.5245495
21000,1.4966717
22000,1.4856637
23000,1.521879
24000,1.4878895
25000,1.4888877
26000,1.538429
27000,1.5470344
28000,1.5455039
29000,1.4968277
30000,1.5126219
31000,1.5483702
32000,1.4953601
33000,1.4737924
34000,1.5133595
35000,1.5194573
36000,1.5011092
37000,1.4786553
38000,1.5207586
39000,1.5042608
40000,1.5186604
41000,1.4973063
42000,1.5054173
43000,1.5015975
44000,1.5330698
45000,1.5072613
46000,1.5104175
47000,1.5217357
48000,1.5377842
49000,1.5086861
50000,1.5205336
51000,1.5212989
52000,1.5209575
53000,1.5209928
54000,1.487274
55000,1.5177046
56000,1.4940177
57000,1.4750745
58000,1.4991155
59000,1.525769
60000,1.5089743
61000,1.515749
62000,1.508341
63000,1.5116966
64000,1.5210826
65000,1.5138371
66000,1.5067885
67000,1.5111116
68000,1.5209739
69000,1.5145168
70000,1.5090337
71000,1.4995918
72000,1.5056887
73000,1.519119
74000,1.4959046
75000,1.5102283
76000,1.5193694
77000,1.5167465
78000,1.5016572
79000,1.51406
80000,1.5089841
81000,1.5082262
82000,1.5251408
83000,1.5180734
84000,1.4994446
85000,1.5073333
86000,1.5242959
87000,1.5106194
88000,1.5103338
89000,1.5011659
90000,1.5077748
91000,1.5043755
92000,1.5230949
93000,1.5030224
94000,1.508389
95000,1.5066029
96000,1.5060363
97000,1.5084538
98000,1.5082822
99000,1.5090333
100000,1.5187178
