"step","downstreamPressure_DP170_572,50-0,86-0,43=2.05888"
0,2.3699782
1000,1.9602888
2000,2.1780705
3000,2.0332856
4000,2.0740857
5000,2.0663679
6000,2.0437746
7000,2.0510855
8000,2.0603971
9000,2.1555126
10000,2.0961018
11000,2.1018457
12000,2.0516295
13000,2.068994
14000,2.0997162
15000,2.0647337
16000,2.0777948
17000,2.0555418
18000,2.0444283
19000,2.2675285
20000,2.0822425
21000,2.146523
22000,2.0936303
23000,2.1293945
24000,2.0792851
25000,2.0896108
26000,2.1007829
27000,2.108778
28000,2.1089096
29000,2.1129546
30000,2.1018362
31000,2.1061764
32000,2.1019309
33000,2.0782328
34000,2.0990796
35000,2.0951092
36000,2.0895586
37000,2.0888953
38000,2.1002846
39000,2.0927246
40000,2.0858638
41000,2.070915
42000,2.0888526
43000,2.051105
44000,2.0762959
45000,2.0855618
46000,2.0785847
47000,2.0861843
48000,2.079963
49000,2.099339
50000,2.086731
51000,2.0861268
52000,2.0990837
53000,2.0904763
54000,2.0966654
55000,2.082357
56000,2.097602
57000,2.0736763
58000,2.0855567
59000,2.0947785
60000,2.0961819
61000,2.0988836
62000,2.0917134
63000,2.093196
64000,2.0945148
65000,2.0848236
66000,2.0923665
67000,2.0965567
68000,2.0817852
69000,2.0820756
70000,2.0911093
71000,2.0823808
72000,2.0834808
73000,2.0830157
74000,2.0796123
75000,2.091533
76000,2.0780303
77000,2.0887852
78000,2.0884538
79000,2.089802
80000,2.0921714
81000,2.0866807
82000,2.0923774
83000,2.0878751
84000,2.0974712
85000,2.0826902
86000,2.0915787
87000,2.09033
88000,2.0890694
89000,2.0875525
90000,2.0907884
91000,2.0898304
92000,2.0965714
93000,2.0857878
94000,2.0991778
95000,2.0899768
96000,2.0910544
97000,2.090754
98000,2.0955863
99000,2.0853238
100000,2.0860581
