"step","downstreamPressure_DP166_797,50-0,94-0,35=1.61743"
0,2.8397102
1000,2.6796072
2000,2.9191937
3000,2.95575
4000,2.7230625
5000,2.5686102
6000,2.4184983
7000,2.37958
8000,2.5332396
9000,2.3013415
10000,2.2769558
11000,2.2503777
12000,2.1646204
13000,2.0264707
14000,2.0380592
15000,2.0079622
16000,2.0192933
17000,1.9696321
18000,1.989202
19000,1.9358758
20000,1.9867111
21000,1.9544401
22000,1.9898664
23000,1.9715053
24000,1.9576795
25000,1.9688942
26000,1.9714984
27000,1.9176676
28000,1.9264431
29000,1.9730091
30000,1.9714453
31000,1.9505754
32000,1.9637302
33000,1.9519002
34000,1.8823853
35000,1.8906629
36000,1.8993269
37000,1.8992062
38000,1.8997874
39000,1.892834
40000,1.8863692
41000,1.8917544
42000,1.8912032
43000,1.8820162
44000,1.8705106
45000,1.8549125
46000,1.8503284
47000,1.8685584
48000,1.8517964
49000,1.8545496
50000,1.8579996
51000,1.8379707
52000,1.8234813
53000,1.8451568
54000,1.807651
55000,1.8183205
56000,1.8285835
57000,1.807067
58000,1.8174919
59000,1.8042898
60000,1.7990086
61000,1.7907491
62000,1.7882409
63000,1.7886178
64000,1.7849134
65000,1.7832842
66000,1.7808253
67000,1.7625057
68000,1.7676505
69000,1.7672088
70000,1.7744203
71000,1.7719994
72000,1.7595165
73000,1.7577523
74000,1.7543474
75000,1.7485498
76000,1.744735
77000,1.748691
78000,1.7488725
79000,1.7427672
80000,1.7451969
81000,1.7303303
82000,1.734988
83000,1.7286034
84000,1.7415745
85000,1.7386054
86000,1.7310755
87000,1.7298999
88000,1.7259262
89000,1.7192945
90000,1.7221457
91000,1.7173859
92000,1.7189243
93000,1.7226574
94000,1.7115332
95000,1.7204642
96000,1.708921
97000,1.7223582
98000,1.7144268
99000,1.7245232
100000,1.715281
