"step","upstreamPressure_DP155_662,50-0,74-0,13=6.82799"
0,3.5516646
1000,4.5530386
2000,5.0778193
3000,5.87856
4000,6.267041
5000,6.631482
6000,6.8124104
7000,7.0462794
8000,7.589525
9000,7.2958293
10000,7.396449
11000,7.46794
12000,7.4828215
13000,7.4463205
14000,7.4833975
15000,7.5259867
16000,7.530877
17000,7.4940495
18000,7.4942203
19000,7.472863
20000,7.3988914
21000,7.4061317
22000,7.4171495
23000,7.3766165
24000,7.335126
25000,7.3483477
26000,7.400194
27000,7.3557763
28000,7.3188243
29000,7.3207254
30000,7.283031
31000,7.2257776
32000,7.274403
33000,7.270478
34000,7.235649
35000,7.230379
36000,7.20083
37000,7.1917677
38000,7.20599
39000,7.179779
40000,7.183273
41000,7.174975
42000,7.176849
43000,7.141905
44000,7.1339526
45000,7.1384687
46000,7.133142
47000,7.1139936
48000,7.0984387
49000,7.1166945
50000,7.1049986
51000,7.1030474
52000,7.0962634
53000,7.1176767
54000,7.090891
55000,7.072875
56000,7.0958605
57000,7.0908365
58000,7.085457
59000,7.0622787
60000,7.077623
61000,7.0630875
62000,7.067896
63000,7.0775766
64000,7.0593586
65000,7.0564065
66000,7.0700226
67000,7.051324
68000,7.054575
69000,7.057804
70000,7.0400867
71000,7.0647383
72000,7.0401993
73000,7.044137
74000,7.0638475
75000,7.033951
76000,7.0352364
77000,7.028373
78000,7.028502
79000,7.019029
80000,7.0246034
81000,7.0040746
82000,7.009963
83000,7.006191
84000,6.9925175
85000,7.008988
86000,7.0021687
87000,7.0100355
88000,7.0000577
89000,6.9901476
90000,6.9859915
91000,6.9849024
92000,6.9914417
93000,6.9881682
94000,6.975978
95000,6.9836817
96000,6.9818974
97000,6.9798603
98000,6.996854
99000,6.9681463
100000,6.9766083
