"step","downsteramPressure_Re800"
76000,1.0439327
77000,1.0309372
78000,1.0832999
79000,1.0249529
80000,1.0018669
81000,0.9977327
82000,1.0759746
83000,1.071466
84000,1.0448349
85000,0.87183833
86000,1.1490095
87000,1.1325011
88000,1.0907041
89000,1.1588306
90000,1.1370265
91000,1.118257
92000,1.1639162
93000,1.171585
94000,1.105683
95000,1.1524578
96000,1.1186519
97000,1.1634777
98000,1.1342431
99000,1.1742508
100000,1.1996098
101000,1.1434468
102000,1.1390584
103000,1.1505976
104000,1.1203887
105000,1.1054955
106000,1.1099571
107000,1.1195142
108000,1.0869632
109000,1.0993308
110000,1.1277789
111000,1.1550968
112000,1.1298172
113000,1.1058835
114000,1.1204791
115000,1.12298
116000,1.1444366
117000,1.155187
118000,1.1305507
119000,1.1384397
120000,1.1709359
121000,1.1533333
122000,1.1247971
123000,1.1271267
124000,1.1364815
