"step","upsteramPressure_Re1213"
76000,3.9614096
77000,3.7349937
78000,4.0063305
79000,4.0094237
80000,3.8640807
81000,3.7813492
82000,3.944871
83000,3.8937402
84000,3.8261552
85000,3.6230407
86000,3.9976187
87000,3.853451
88000,3.8433893
89000,3.9578712
90000,3.923337
91000,3.8499074
92000,3.9748392
93000,3.9689398
94000,3.7052555
95000,3.9135222
96000,3.9124742
97000,3.9118485
98000,3.9267187
99000,3.8564458
100000,3.9141169
101000,3.8419166
102000,3.8560982
103000,3.86216
104000,3.8148527
105000,3.7795477
106000,3.82379
107000,3.8178844
108000,3.834927
109000,3.7845764
110000,3.896361
111000,3.9043527
112000,3.951901
113000,3.9431481
114000,3.864058
115000,3.8635597
116000,3.8637428
117000,3.906002
118000,3.909037
119000,3.850534
120000,3.9442568
121000,3.9037735
122000,3.8402212
123000,3.838078
124000,3.9118147
