"step","upstreamPressure_DP36_572,73-0,32-0,23=7.22936"
0,1.4016447
1000,6.9055214
2000,7.369001
3000,7.0303407
4000,7.405181
5000,7.169673
6000,6.9910007
7000,7.2237926
8000,7.165879
9000,7.1707087
10000,7.2171464
11000,7.32524
12000,7.190392
13000,7.268117
14000,7.2099304
15000,7.243802
16000,7.412497
17000,7.1983547
18000,7.291099
19000,7.2903814
20000,7.2695246
21000,7.224847
22000,7.238159
23000,7.200641
24000,7.231344
25000,7.2290297
26000,7.1821923
27000,7.188092
28000,7.22725
29000,7.1919227
30000,7.195114
31000,7.245985
32000,7.1044827
33000,7.199947
34000,7.2024937
35000,7.22205
36000,7.2192416
37000,7.2106857
38000,7.1579056
39000,7.23983
40000,7.185536
41000,7.2514524
42000,7.2688274
43000,7.232086
44000,7.2364507
45000,7.233436
46000,7.2261643
47000,7.234189
48000,7.2190037
49000,7.218191
50000,7.232837
51000,7.2030764
52000,7.2062693
53000,7.1838694
54000,7.2551785
55000,7.2259135
56000,7.22087
57000,7.227868
58000,7.238888
59000,7.229151
60000,7.243533
61000,7.230668
62000,7.2361574
63000,7.225732
64000,7.2212057
65000,7.2569404
66000,7.2368517
67000,7.2272944
68000,7.203989
69000,7.227103
70000,7.239583
71000,7.2747593
72000,7.2361917
73000,7.25262
74000,7.2209406
75000,7.2618217
76000,7.2118998
77000,7.252884
78000,7.179225
79000,7.251021
80000,7.2357764
81000,7.226163
82000,7.223591
83000,7.266343
84000,7.238078
85000,7.2438273
86000,7.224163
87000,7.256527
88000,7.277117
89000,7.2279143
90000,7.219639
91000,7.238555
92000,7.2143373
93000,7.2259245
94000,7.228083
95000,7.2349415
96000,7.2213254
97000,7.234582
98000,7.240204
99000,7.23232
100000,7.220941
