"step","upstreamPressure_DP163_887,50-0,34-0,29=6.04252"
0,4.20217
1000,7.2033753
2000,7.1108117
3000,6.9784822
4000,6.9576983
5000,7.0229435
6000,6.839481
7000,6.933404
8000,6.969155
9000,6.842108
10000,6.868693
11000,6.790379
12000,6.7985225
13000,6.7491765
14000,6.7330565
15000,6.7110224
16000,6.6680317
17000,6.6817465
18000,6.6566525
19000,6.6416216
20000,6.6096997
21000,6.6013327
22000,6.6057973
23000,6.5817018
24000,6.5816746
25000,6.524377
26000,6.5227957
27000,6.5162735
28000,6.503856
29000,6.4834557
30000,6.4776325
31000,6.4811373
32000,6.47203
33000,6.452155
34000,6.4477882
35000,6.4308777
36000,6.4354143
37000,6.4217525
38000,6.4368687
39000,6.4209137
40000,6.415613
41000,6.3975267
42000,6.3969927
43000,6.3973193
44000,6.3875856
45000,6.3877907
46000,6.377185
47000,6.378983
48000,6.360504
49000,6.339418
50000,6.3626704
51000,6.3664374
52000,6.3602285
53000,6.3595333
54000,6.3586903
55000,6.353168
56000,6.341761
57000,6.320196
58000,6.327919
59000,6.3266606
60000,6.335168
61000,6.321823
62000,6.3278694
63000,6.333548
64000,6.323737
65000,6.3142557
66000,6.315736
67000,6.317303
68000,6.3085814
69000,6.3090506
70000,6.3169055
71000,6.304877
72000,6.3077936
73000,6.3132114
74000,6.3016644
75000,6.2978854
76000,6.299588
77000,6.296472
78000,6.297544
79000,6.2938814
80000,6.293686
81000,6.2939205
82000,6.291621
83000,6.296153
84000,6.28718
85000,6.285879
86000,6.290531
87000,6.285701
88000,6.2842073
89000,6.2957854
90000,6.2864494
91000,6.285951
92000,6.281065
93000,6.2840533
94000,6.2843966
95000,6.282935
96000,6.280267
97000,6.2796054
98000,6.2763343
99000,6.274865
100000,6.274252
