"step","downstreamPressure_DP155_662,50-0,74-0,13=1.8154"
0,2.079436
1000,1.9760811
2000,1.72281
3000,1.8285103
4000,1.8052778
5000,1.8100355
6000,1.8888046
7000,1.8616469
8000,1.8551152
9000,1.726825
10000,1.7993226
11000,1.8629879
12000,5.1735888
13000,1.911094
14000,1.786663
15000,1.7603247
16000,1.8294955
17000,1.8545297
18000,1.7935814
19000,1.837736
20000,1.8132321
21000,1.7833054
22000,1.7567067
23000,1.8033217
24000,1.7717369
25000,1.7788033
26000,1.8189838
27000,1.8298666
28000,1.8388312
29000,1.7898724
30000,1.8130244
31000,1.8469466
32000,1.7913679
33000,1.7710391
34000,1.802222
35000,1.8151629
36000,1.7850018
37000,1.7698052
38000,1.8114271
39000,1.7925999
40000,1.8127191
41000,1.7871773
42000,1.8033799
43000,1.7874626
44000,1.8258126
45000,1.8013344
46000,1.8029847
47000,1.8163702
48000,1.8251171
49000,1.7991117
50000,1.824166
51000,1.8179313
52000,1.8127685
53000,1.8054105
54000,1.7797146
55000,1.8245502
56000,1.7835243
57000,1.7755305
58000,1.792647
59000,1.8132638
60000,1.8009272
61000,1.8074821
62000,1.7947233
63000,1.8009435
64000,1.8158033
65000,1.8099729
66000,1.798661
67000,1.8049796
68000,1.8097241
69000,1.8036726
70000,1.80309
71000,1.7925272
72000,1.7976153
73000,1.8136424
74000,1.7829643
75000,1.8035872
76000,1.8141471
77000,1.8108125
78000,1.7897542
79000,1.8079531
80000,1.8015743
81000,1.7990587
82000,1.8215041
83000,1.8112205
84000,1.797228
85000,1.797157
86000,1.8188589
87000,1.8026543
88000,1.8014762
89000,1.7932231
90000,1.7984412
91000,1.7975514
92000,1.817408
93000,1.7961156
94000,1.8010162
95000,1.7985492
96000,1.7990317
97000,1.799897
98000,1.8001527
99000,1.8021014
100000,1.8092148
