"step","upstreamPressure_DP158_752,50-0,78-0,19=6.44549"
0,0.89267343
1000,0.00013742803
2000,-0.005015569
3000,-0.006821436
4000,0.0073860814
5000,0.012804933
6000,0.025993932
7000,0.051289428
8000,0.14404571
9000,0.31426036
10000,0.4232673
11000,0.94750214
12000,1.2958882
13000,2.214796
14000,3.1034613
15000,0.82313144
16000,3.4000602
17000,4.1329317
18000,4.8536215
19000,5.583782
20000,5.782136
21000,6.073976
22000,6.4251103
23000,6.6044836
24000,6.7983274
25000,6.9777565
26000,7.05887
27000,7.150152
28000,7.299246
29000,7.2756615
30000,7.3929205
31000,7.555957
32000,7.495021
33000,7.6311274
34000,7.674759
35000,7.755067
36000,7.482047
37000,7.7640433
38000,7.78109
39000,7.8368177
40000,7.7412906
41000,7.684434
42000,7.859913
43000,7.9402094
44000,7.762681
45000,7.7680383
46000,7.6010795
47000,7.8698406
48000,7.939455
49000,7.847911
50000,7.6395802
51000,7.957556
52000,7.9252276
53000,7.915628
54000,7.804538
55000,7.901866
56000,7.8698936
57000,7.8926554
58000,7.8526235
59000,7.8724737
60000,7.8765593
61000,7.7272844
62000,7.812625
63000,7.840269
64000,7.827516
65000,7.7650156
66000,7.882489
67000,7.707945
68000,6.867855
69000,7.7603455
70000,7.823476
71000,7.770198
72000,7.7142143
73000,7.7300057
74000,7.7470093
75000,7.7559366
76000,7.6813436
77000,7.6749997
78000,7.5447435
79000,7.651946
80000,7.3359203
81000,7.5962486
82000,7.6321797
83000,7.5889845
84000,7.491295
85000,7.578807
86000,7.581193
87000,7.5087647
88000,7.537896
89000,7.5318494
90000,7.58642
91000,7.5336795
92000,7.4177227
93000,7.295618
94000,7.4872284
95000,7.4206805
96000,7.392908
97000,7.4314437
98000,7.355853
99000,7.398387
100000,7.3581123
