"step","downstreamPressure_DP163_887,50-0,34-0,29=1.45538"
0,-0.20533884
1000,0.008023786
2000,0.05040264
3000,0.121673554
4000,0.53617704
5000,0.75844264
6000,1.4972367
7000,1.6722748
8000,1.9268839
9000,2.1076784
10000,2.056547
11000,2.0216043
12000,2.0804977
13000,2.2745402
14000,2.060375
15000,2.0005221
16000,2.0511684
17000,2.2549434
18000,2.2575288
19000,2.0346136
20000,2.4566207
21000,2.4712136
22000,2.260023
23000,2.338664
24000,2.4878676
25000,2.281273
26000,2.4205835
27000,2.4629955
28000,2.4528642
29000,2.4446557
30000,2.3890798
31000,2.425814
32000,2.4439082
33000,2.383951
34000,2.3599842
35000,2.367764
36000,2.2763286
37000,2.3423588
38000,2.3086798
39000,2.3551612
40000,2.313097
41000,2.364131
42000,2.327009
43000,2.231163
44000,2.3119478
45000,2.217668
46000,2.3340678
47000,2.1639163
48000,2.2397673
49000,2.2361546
50000,2.2489336
51000,2.2174067
52000,2.2130542
53000,2.1938758
54000,2.2035174
55000,2.1751683
56000,2.2374096
57000,2.1933203
58000,2.152627
59000,2.2149081
60000,2.2222943
61000,2.2129502
62000,2.194447
63000,2.1755877
64000,2.1844535
65000,2.2183795
66000,2.1800036
67000,2.2053757
68000,2.1888728
69000,2.2003148
70000,2.162458
71000,2.1437316
72000,2.1395726
73000,2.1469455
74000,2.1714847
75000,2.182868
76000,2.161325
77000,2.14236
78000,2.1654408
79000,2.172716
80000,2.1462283
81000,2.1463137
82000,2.1640239
83000,2.1568708
84000,2.1371226
85000,2.1347623
86000,2.1322527
87000,2.123951
88000,2.1343348
89000,2.131854
90000,2.1276603
91000,2.1413403
92000,2.1021051
93000,2.1332555
94000,2.12841
95000,2.0980334
96000,2.1283998
97000,2.0941858
98000,2.1086922
99000,2.1040096
100000,2.1057096
