"step","downstreamPressure_DP159_932,50-0,66-0,21=1.38966"
0,3.3435512
1000,2.9829142
2000,3.1577268
3000,3.0524645
4000,2.912339
5000,2.6603105
6000,2.5121844
7000,2.41724
8000,2.454413
9000,2.3792076
10000,2.3705466
11000,2.3019047
12000,2.2181356
13000,2.0635395
14000,2.0750494
15000,2.0401661
16000,1.9636029
17000,1.9392643
18000,1.9315832
19000,1.9325335
20000,1.9373949
21000,1.9313164
22000,1.8916044
23000,1.9079549
24000,1.9213052
25000,1.8005354
26000,1.7833376
27000,1.7875725
28000,1.8119888
29000,1.8173532
30000,1.8269596
31000,1.8182986
32000,1.8190955
33000,1.7797124
34000,1.8031965
35000,1.7882404
36000,1.7944896
37000,1.7810094
38000,1.7715905
39000,1.7642477
40000,1.7801354
41000,1.7627943
42000,1.748397
43000,1.7525944
44000,1.7343643
45000,1.7338562
46000,1.7259228
47000,1.7249773
48000,1.7092887
49000,1.7030023
50000,1.7026577
51000,1.6932262
52000,1.6921436
53000,1.6936811
54000,1.6754152
55000,1.668752
56000,1.6855192
57000,1.6607171
58000,1.6325219
59000,1.6403296
60000,1.6261079
61000,1.6314237
62000,1.6137029
63000,1.6241286
64000,1.6127635
65000,1.6290463
66000,1.601649
67000,1.599086
68000,1.6012783
69000,1.5972469
70000,1.5942131
71000,1.5713491
72000,1.5924733
73000,1.5948317
74000,1.574369
75000,1.579931
76000,1.562672
77000,1.561719
78000,1.5594003
79000,1.557612
80000,1.5608156
81000,1.561796
82000,1.5552545
83000,1.553838
84000,1.5502188
85000,1.5348146
86000,1.5362659
87000,1.540719
88000,1.5374794
89000,1.5293889
90000,1.5347772
91000,1.5275643
92000,1.5277038
93000,1.5340037
94000,1.5229475
95000,1.522496
96000,1.5194004
97000,1.5287719
98000,1.5146272
99000,1.510813
100000,1.5102646
