"step","downstreamPressure_DP79_972,73-0,89-0,39=1.39173"
0,2.8693838
1000,1.4689008
2000,1.4952034
3000,1.5218449
4000,1.3763907
5000,1.3253064
6000,1.3234518
7000,1.305439
8000,1.3274635
9000,1.3311069
10000,1.320044
11000,1.4524736
12000,1.5089778
13000,1.4498861
14000,1.4915292
15000,1.4757569
16000,1.4845605
17000,1.4512718
18000,1.4838275
19000,1.4129629
20000,1.4782559
21000,1.4414135
22000,1.45122
23000,1.4019206
24000,1.4669328
25000,1.4049428
26000,1.377021
27000,1.3707994
28000,1.3893875
29000,1.2770008
30000,1.3259432
31000,1.347538
32000,1.3744303
33000,1.37505
34000,1.4586309
35000,1.4463642
36000,1.403084
37000,1.3830578
38000,1.3819534
39000,1.383611
40000,1.4023085
41000,1.3871274
42000,1.3931867
43000,1.387935
44000,1.3742042
45000,1.3943701
46000,1.3935596
47000,1.3983086
48000,1.392323
49000,1.4048991
50000,1.3982341
51000,1.402198
52000,1.3889847
53000,1.3842409
54000,1.3856465
55000,1.3790522
56000,1.4138174
57000,1.3924513
58000,1.393136
59000,1.3962922
60000,1.399753
61000,1.4034803
62000,1.3971815
63000,1.3810616
64000,1.3825924
65000,1.382513
66000,1.377754
67000,1.3712059
68000,1.3742611
69000,1.353605
70000,1.368393
71000,1.3686817
72000,1.3685441
73000,1.3674003
74000,1.3629735
75000,1.372151
76000,1.3757491
77000,1.3792644
78000,1.380447
79000,1.3648598
80000,1.381435
81000,1.3744328
82000,1.3812015
83000,1.3827204
84000,1.3697429
85000,1.384474
86000,1.3889244
87000,1.3906476
88000,1.3971717
89000,1.3899467
90000,1.4011405
91000,1.3873758
92000,1.3852962
93000,1.3892436
94000,1.3950276
95000,1.3955677
96000,1.3991818
97000,1.3966198
98000,1.4051268
99000,1.4015448
100000,1.4141718
