"step","upstreamPressure_DP154_482,50-0,38-0,11=7.86321"
0,1.2560145
1000,7.642518
2000,7.5375195
3000,7.6107273
4000,7.874774
5000,7.861951
6000,7.844021
7000,7.7775655
8000,7.845595
9000,7.877331
10000,7.656724
11000,8.076014
12000,7.9954033
13000,7.6871223
14000,7.699166
15000,7.709264
16000,7.698489
17000,7.828001
18000,7.7730217
19000,7.775518
20000,7.7464943
21000,7.821088
22000,7.831285
23000,7.544814
24000,7.740244
25000,7.799643
26000,7.8271
27000,7.817665
28000,7.7993875
29000,7.8501377
30000,7.8967156
31000,7.8998413
32000,7.825374
33000,7.8312764
34000,7.6092167
35000,7.6833305
36000,7.76134
37000,7.7498045
38000,7.8067636
39000,7.816227
40000,7.8399334
41000,7.861882
42000,7.8685236
43000,7.8122826
44000,7.8321705
45000,7.84768
46000,7.8724194
47000,7.8752394
48000,7.8467627
49000,7.8885126
50000,7.8907967
51000,7.887751
52000,7.9011354
53000,7.890624
54000,7.9043803
55000,7.902723
56000,7.7903605
57000,7.8417487
58000,7.813315
59000,7.835491
60000,7.8468113
61000,7.8543015
62000,7.8763585
63000,7.8816442
64000,7.888296
65000,7.904558
66000,7.8968115
67000,7.8982506
68000,7.903633
69000,7.9352684
70000,7.895728
71000,7.899125
72000,7.870923
73000,7.8840694
74000,7.889065
75000,7.9072943
76000,7.9008417
77000,7.8987827
78000,7.9076004
79000,7.9041605
80000,7.921265
81000,7.91603
82000,7.9103584
83000,7.9107924
84000,7.9082117
85000,7.916807
86000,7.914666
87000,7.9053507
88000,7.9100647
89000,7.9226837
90000,7.9223294
91000,7.924231
92000,7.9074297
93000,7.9161644
94000,7.906973
95000,7.9212384
96000,7.9198484
97000,7.9124975
98000,7.9268017
99000,7.917368
100000,7.9169536
