"step","downstreamPressure_DP101_849.99999999999989_0.97333333333333338_0.1705"
0,0.020259563
1000,-0.00077078777
2000,0.009641979
3000,0.015241269
4000,0.029452536
5000,0.04936243
6000,0.058548525
7000,0.08635784
8000,0.12079855
9000,0.15976582
10000,0.20925292
11000,0.2400289
12000,0.28469032
13000,0.3293028
14000,0.39966056
15000,0.45105547
16000,0.51966083
17000,0.5985763
18000,0.6633901
19000,0.7202356
20000,0.79263365
21000,0.8413423
22000,0.8904556
23000,0.93306273
24000,0.97406137
25000,1.0017776
26000,1.028055
27000,1.0569792
28000,1.092294
29000,1.1136427
30000,1.1243031
31000,1.1457647
32000,1.177227
33000,1.1729696
34000,1.1984103
35000,1.2057462
36000,1.1924324
37000,1.2213688
38000,1.2348942
39000,1.242218
40000,1.2471635
41000,1.2537761
42000,1.2665977
43000,1.2878377
44000,1.2752991
45000,1.2814908
46000,1.2859857
47000,1.2807922
48000,1.2914473
49000,1.2839768
50000,1.3030437
51000,1.3108358
52000,1.3136064
53000,1.3090944
54000,1.3263433
55000,1.3189042
56000,1.3185701
57000,1.327894
58000,1.3297155
59000,1.3327858
60000,1.3286338
61000,1.3296583
62000,1.3256164
63000,1.3218888
64000,1.3184643
65000,1.324843
66000,1.3291104
67000,1.3317394
68000,1.3265605
69000,1.3303616
70000,1.3287315
71000,1.3344722
72000,1.3279209
73000,1.3281689
74000,1.3236247
75000,1.3061037
76000,1.3197296
77000,1.327577
78000,1.3200309
79000,1.3221502
80000,1.3157215
81000,1.3343447
82000,1.3128469
83000,1.3237727
84000,1.3135306
85000,1.3074677
86000,1.3052642
87000,1.3048252
88000,1.3090694
89000,1.3235997
90000,1.3096107
91000,1.3130924
92000,1.3032914
93000,1.3054684
94000,1.3045357
95000,1.2920632
96000,1.3100803
97000,1.302253
98000,1.2969148
99000,1.2828882
100000,1.2987698
101000,1.2922598
102000,1.2981077
103000,1.2900672
104000,1.2838004
105000,1.2849203
106000,1.2761292
107000,1.2647808
108000,1.2739409
109000,1.2925375
110000,1.2756435
111000,1.2717829
112000,1.2751409
113000,1.2590313
114000,1.234097
115000,1.2352393
116000,1.253468
117000,1.2704093
118000,1.2704308
119000,1.2698674
120000,1.2619631
121000,1.2609524
122000,1.2580025
123000,1.2496464
124000,1.2533063
125000,1.246304
126000,1.2548221
127000,1.2452881
128000,1.2470964
129000,1.2439802
130000,1.243789
131000,1.2355978
132000,1.2324793
133000,1.2279108
134000,1.2258065
135000,1.2211806
136000,1.2150909
137000,1.2241864
138000,1.2186828
139000,1.2166964
140000,1.2085578
141000,1.2047282
142000,1.1987534
143000,1.2065797
144000,1.1996384
145000,1.203721
146000,1.1878777
147000,1.1943707
148000,1.1931078
149000,1.1817681
150000,1.1845157
151000,1.1795862
152000,1.1844034
153000,1.1595936
154000,1.1631256
155000,1.1759837
156000,1.173553
157000,1.1696353
158000,1.1636822
159000,1.1586946
160000,1.14992
161000,1.1523728
162000,1.1502748
163000,1.1471583
164000,1.1433482
165000,1.1353071
166000,1.1311748
167000,1.1315513
168000,1.1248221
169000,1.1245058
170000,1.1200309
171000,1.1132832
172000,1.1160536
173000,1.1108193
174000,1.1082814
175000,1.1047055
176000,1.1060569
177000,1.1010187
178000,1.0983651
179000,1.0910068
180000,1.0904069
181000,1.0948699
182000,1.0767298
183000,1.0787168
184000,1.0818746
185000,1.0797691
186000,1.0765934
187000,1.0749931
188000,1.0774097
189000,1.0681522
190000,1.0641506
191000,1.0600286
192000,1.0605282
193000,1.0580091
194000,1.0534334
195000,1.0499674
196000,1.0445592
197000,1.0417306
198000,1.0430455
199000,1.0370452
200000,1.0380809
201000,1.0360947
202000,1.0313988
203000,1.0286388
204000,1.0235524
205000,1.0225321
206000,1.0205402
207000,1.0164201
208000,1.0156288
209000,1.014268
210000,1.0100985
211000,1.008574
212000,1.0054619
213000,1.0032568
214000,0.99922824
215000,0.99680525
216000,0.9953307
217000,0.9920585
218000,0.99109864
219000,0.99039173
220000,0.9853802
221000,0.9842373
222000,0.9843759
223000,0.9795314
224000,0.9783651
225000,0.976395
226000,0.9734384
227000,0.9715955
228000,0.9697659
229000,0.9675666
230000,0.9659089
231000,0.9655485
232000,0.9640906
233000,0.96227396
234000,0.95937693
235000,0.95991904
236000,0.9579041
237000,0.95573485
238000,0.95437455
239000,0.9515511
240000,0.9504756
241000,0.94693154
242000,0.9440241
243000,0.945294
244000,0.94241756
245000,0.94152653
246000,0.93923783
247000,0.9375082
248000,0.93530107
249000,0.9347758
250000,0.9333918
251000,0.93204814
252000,0.9309945
253000,0.9294685
254000,0.92814565
255000,0.9253036
256000,0.92941105
257000,0.9222353
258000,0.9217805
259000,0.9202368
260000,0.9196899
261000,0.91812134
262000,0.917326
263000,0.9159471
264000,0.91527855
265000,0.913651
266000,0.91119003
267000,0.9111239
268000,0.9097856
269000,0.90789926
270000,0.9072597
271000,0.90553284
272000,0.90512854
273000,0.9040623
274000,0.90233225
275000,0.9013077
276000,0.90089893
277000,0.8994137
278000,0.8984642
279000,0.89758277
280000,0.8965695
281000,0.89655876
282000,0.8950835
283000,0.8941728
284000,0.89258075
285000,0.89260656
286000,0.8909899
287000,0.89070976
288000,0.88889265
289000,0.8880172
290000,0.88694775
291000,0.88666654
292000,0.8857697
293000,0.88527423
294000,0.88373214
295000,0.8823883
296000,0.88156307
297000,0.881866
298000,0.8800279
299000,0.8798828
300000,0.87903285
