"step","upstreamPressure_DP111_430_0.44_0.28049999999999997"
0,-0.003994052
1000,-0.008923794
2000,0.016114587
3000,0.053158898
4000,0.14361131
5000,0.26423538
6000,0.39825073
7000,0.51600254
8000,0.6378524
9000,0.76964134
10000,0.9341577
11000,1.0799919
12000,1.2371349
13000,1.3942155
14000,1.5347354
15000,1.6484034
16000,1.7594078
17000,1.9003446
18000,1.9760926
19000,2.084057
20000,2.1400938
21000,2.1968777
22000,2.3046505
23000,2.3810186
24000,2.4015732
25000,2.4662461
26000,2.497303
27000,2.5485492
28000,2.468911
29000,2.5882344
30000,2.6375425
31000,2.6898966
32000,2.6499305
33000,2.7345233
34000,2.7542777
35000,2.7646596
36000,2.6148453
37000,2.7908783
38000,2.8388631
39000,2.825955
40000,2.8650048
41000,2.857029
42000,2.8902297
43000,2.8332872
44000,2.9026291
45000,2.92164
46000,2.931317
47000,2.9539108
48000,2.994661
49000,2.928213
50000,2.9463353
51000,2.9828584
52000,3.0242808
53000,3.0393605
54000,2.9968166
55000,3.0052211
56000,3.0602188
57000,3.0727034
58000,3.0810275
59000,3.0887058
60000,3.076732
61000,3.0639231
62000,3.055635
63000,3.0896606
64000,3.0794098
65000,3.0767922
66000,3.118637
67000,3.1101487
68000,3.0921168
69000,3.1020184
70000,3.1045525
71000,3.0719354
72000,3.1267931
73000,3.1430848
74000,3.1374083
75000,3.114356
76000,3.1520457
77000,3.11203
78000,3.1589777
79000,3.1332097
80000,3.0914528
81000,3.1214194
82000,3.14719
83000,3.140933
84000,3.12803
85000,3.1537712
86000,3.0959926
87000,3.153124
88000,3.1383774
89000,3.0003026
90000,3.124516
91000,3.1458287
92000,3.1611862
93000,3.174344
94000,3.1264205
95000,3.1298127
96000,3.1555793
97000,3.2168083
98000,3.1483073
99000,3.174779
100000,3.139055
101000,3.0952873
102000,3.1773567
103000,3.1685445
104000,3.2143757
105000,3.221592
106000,3.2218919
107000,3.1390276
108000,3.2195327
109000,3.0938518
110000,3.195407
111000,3.2362132
112000,3.205395
113000,3.1434212
114000,2.9943173
115000,3.1118915
116000,3.1612082
117000,3.1938443
118000,3.2351732
119000,3.1973033
120000,3.1959975
121000,3.2517
122000,3.2533262
123000,3.1453831
124000,3.251276
125000,3.1754618
126000,3.2213416
127000,3.2401776
128000,3.252855
129000,3.238833
130000,3.2212968
131000,3.2416487
132000,3.2773619
133000,3.2061758
134000,3.2616904
135000,3.2673407
136000,3.2370675
137000,3.1134028
138000,3.2789307
139000,3.2718456
140000,3.2669163
141000,3.2803085
142000,3.2598193
143000,3.2843466
144000,3.2944493
145000,3.1796317
146000,3.275357
147000,3.2590199
148000,3.2935061
149000,3.2898102
150000,3.299373
151000,3.2737658
152000,3.2073584
153000,3.0598047
154000,3.2402167
155000,3.2968287
156000,3.2988968
157000,3.3105028
158000,3.3062437
159000,3.2858348
160000,3.282222
161000,3.3099124
162000,3.3031647
163000,3.3116207
164000,3.2959008
165000,3.3023505
166000,3.2521424
167000,3.3230324
168000,3.279026
169000,3.301105
170000,3.2916818
171000,3.301887
172000,3.2799506
173000,3.303812
174000,3.3021464
175000,3.3218951
176000,3.2699027
177000,3.3080819
178000,3.3162682
179000,3.2952678
180000,3.3208563
181000,3.1147916
182000,3.2364268
183000,3.2984567
184000,3.3058012
185000,3.3221402
186000,3.315539
187000,3.3158045
188000,3.2254496
189000,3.3123386
190000,3.3158436
191000,3.3145971
192000,3.3102026
193000,3.3120303
194000,3.3183393
195000,3.315358
196000,3.3078282
197000,3.3083405
198000,3.3020916
199000,3.3138127
200000,3.292451
201000,3.3247247
202000,3.3231168
203000,3.3294563
204000,3.3051496
205000,3.3093119
206000,3.325901
207000,3.3125772
208000,3.315672
209000,3.296731
210000,3.3244245
211000,3.3236442
212000,3.313658
213000,3.3142476
214000,3.307252
215000,3.3197303
216000,3.3250437
217000,3.315632
218000,3.318185
219000,3.3223677
220000,3.3155422
221000,3.3243034
222000,3.3131995
223000,3.3188684
224000,3.3257124
225000,3.282195
226000,3.3183641
227000,3.3290367
228000,3.2835648
229000,3.2962246
230000,3.3182757
231000,3.3255239
232000,3.3226142
233000,3.3163958
234000,3.3210275
235000,3.3202057
236000,3.3204966
237000,3.3176284
238000,3.3175778
239000,3.32063
240000,3.323163
241000,3.3177252
242000,3.3244
243000,3.31659
244000,3.3270574
245000,3.3240628
246000,3.3187377
247000,3.319762
248000,3.3205953
249000,3.308876
250000,3.3246942
251000,3.3211532
252000,3.321684
253000,3.3130674
254000,3.3254976
255000,3.3158653
256000,3.2976966
257000,3.3161721
258000,3.322233
259000,3.3231347
260000,3.3286805
261000,3.3246846
262000,3.3252604
263000,3.3214312
264000,3.3234496
265000,3.3233504
266000,3.322911
267000,3.32306
268000,3.3221102
269000,3.3231335
270000,3.3249364
271000,3.3227897
272000,3.3239982
273000,3.327046
274000,3.32545
275000,3.327618
276000,3.316804
277000,3.3281496
278000,3.3272789
279000,3.32794
280000,3.3281226
281000,3.327538
282000,3.3269815
283000,3.328197
284000,3.3292935
285000,3.3298435
286000,3.3278673
287000,3.323876
288000,3.3295398
289000,3.326869
290000,3.3289719
291000,3.3279743
292000,3.327004
293000,3.3281956
294000,3.3295708
295000,3.3282425
296000,3.3269987
297000,3.3291013
298000,3.327691
299000,3.3311663
300000,3.3316603
