"step","upstreamPressure_DP111_430_0.44_0.28049999999999997"
0.0,-0.003994052
1000.0,-0.008923794
2000.0,0.016114587
3000.0,0.053158898
4000.0,0.14361131
5000.0,0.26423538
6000.0,0.39825073
7000.0,0.51600254
8000.0,0.6378524
9000.0,0.76964134
10000.0,0.9341577
11000.0,1.0799919
12000.0,1.2371349
13000.0,1.3942155
14000.0,1.5347354
15000.0,1.6484034
16000.0,1.7594078
17000.0,1.9003446
18000.0,1.9760926
19000.0,2.084057
20000.0,2.1400938
21000.0,2.1968777
22000.0,2.3046505
23000.0,2.3810186
24000.0,2.4015732
25000.0,2.4662461
26000.0,2.497303
27000.0,2.5485492
28000.0,2.468911
29000.0,2.5882344
30000.0,2.6375425
31000.0,2.6898966
32000.0,2.6499305
33000.0,2.7345233
34000.0,2.7542777
35000.0,2.7646596
36000.0,2.6148453
37000.0,2.7908783
38000.0,2.8388631
39000.0,2.825955
40000.0,2.8650048
41000.0,2.857029
42000.0,2.8902297
43000.0,2.8332872
44000.0,2.9026291
45000.0,2.92164
46000.0,2.931317
47000.0,2.9539108
48000.0,2.994661
49000.0,2.928213
50000.0,2.9463353
51000.0,2.9828584
52000.0,3.0242808
53000.0,3.0393605
54000.0,2.9968166
55000.0,3.0052211
56000.0,3.0602188
57000.0,3.0727034
58000.0,3.0810275
59000.0,3.0887058
60000.0,3.076732
61000.0,3.0639231
62000.0,3.055635
63000.0,3.0896606
64000.0,3.0794098
65000.0,3.0767922
66000.0,3.118637
67000.0,3.1101487
68000.0,3.0921168
69000.0,3.1020184
70000.0,3.1045525
71000.0,3.0719354
72000.0,3.1267931
73000.0,3.1430848
74000.0,3.1374083
75000.0,3.114356
76000.0,3.1520457
77000.0,3.11203
78000.0,3.1589777
79000.0,3.1332097
80000.0,3.0914528
81000.0,3.1214194
82000.0,3.14719
83000.0,3.140933
84000.0,3.12803
85000.0,3.1537712
86000.0,3.0959926
87000.0,3.153124
88000.0,3.1383774
89000.0,3.0003026
90000.0,3.124516
91000.0,3.1458287
92000.0,3.1611862
93000.0,3.174344
94000.0,3.1264205
95000.0,3.1298127
96000.0,3.1555793
97000.0,3.2168083
98000.0,3.1483073
99000.0,3.174779
100000.0,3.139055
101000.0,3.0952873
102000.0,3.1773567
103000.0,3.1685445
104000.0,3.2143757
105000.0,3.221592
106000.0,3.2218919
107000.0,3.1390276
108000.0,3.2195327
109000.0,3.0938518
110000.0,3.195407
111000.0,3.2362132
112000.0,3.205395
113000.0,3.1434212
114000.0,2.9943173
115000.0,3.1118915
116000.0,3.1612082
117000.0,3.1938443
118000.0,3.2351732
119000.0,3.1973033
120000.0,3.1959975
121000.0,3.2517
122000.0,3.2533262
123000.0,3.1453831
124000.0,3.251276
125000.0,3.1754618
126000.0,3.2213416
127000.0,3.2401776
128000.0,3.252855
129000.0,3.238833
130000.0,3.2212968
131000.0,3.2416487
132000.0,3.2773619
133000.0,3.2061758
134000.0,3.2616904
135000.0,3.2673407
136000.0,3.2370675
137000.0,3.1134028
138000.0,3.2789307
139000.0,3.2718456
140000.0,3.2669163
141000.0,3.2803085
142000.0,3.2598193
143000.0,3.2843466
144000.0,3.2944493
145000.0,3.1796317
146000.0,3.275357
147000.0,3.2590199
148000.0,3.2935061
149000.0,3.2898102
150000.0,3.299373
151000.0,3.2737658
152000.0,3.2073584
153000.0,3.0598047
154000.0,3.2402167
155000.0,3.2968287
156000.0,3.2988968
157000.0,3.3105028
158000.0,3.3062437
159000.0,3.2858348
160000.0,3.282222
161000.0,3.3099124
162000.0,3.3031647
163000.0,3.3116207
164000.0,3.2959008
165000.0,3.3023505
166000.0,3.2521424
167000.0,3.3230324
168000.0,3.279026
169000.0,3.301105
170000.0,3.2916818
171000.0,3.301887
172000.0,3.2799506
173000.0,3.303812
174000.0,3.3021464
175000.0,3.3218951
176000.0,3.2699027
177000.0,3.3080819
178000.0,3.3162682
179000.0,3.2952678
180000.0,3.3208563
181000.0,3.1147916
182000.0,3.2364268
183000.0,3.2984567
184000.0,3.3058012
185000.0,3.3221402
186000.0,3.315539
187000.0,3.3158045
188000.0,3.2254496
189000.0,3.3123386
190000.0,3.3158436
191000.0,3.3145971
192000.0,3.3102026
193000.0,3.3120303
194000.0,3.3183393
195000.0,3.315358
196000.0,3.3078282
197000.0,3.3083405
198000.0,3.3020916
199000.0,3.3138127
200000.0,3.292451
201000.0,3.3247247
202000.0,3.3231168
203000.0,3.3294563
204000.0,3.3051496
205000.0,3.3093119
206000.0,3.325901
207000.0,3.3125772
208000.0,3.315672
209000.0,3.296731
210000.0,3.3244245
211000.0,3.3236442
212000.0,3.313658
213000.0,3.3142476
214000.0,3.307252
215000.0,3.3197303
216000.0,3.3250437
217000.0,3.315632
218000.0,3.318185
219000.0,3.3223677
220000.0,3.3155422
221000.0,3.3243034
222000.0,3.3131995
223000.0,3.3188684
224000.0,3.3257124
225000.0,3.282195
226000.0,3.3183641
227000.0,3.3290367
228000.0,3.2835648
229000.0,3.2962246
230000.0,3.3182757
231000.0,3.3255239
232000.0,3.3226142
233000.0,3.3163958
234000.0,3.3210275
235000.0,3.3202057
236000.0,3.3204966
237000.0,3.3176284
238000.0,3.3175778
239000.0,3.32063
240000.0,3.323163
241000.0,3.3177252
242000.0,3.3244
243000.0,3.31659
244000.0,3.3270574
245000.0,3.3240628
246000.0,3.3187377
247000.0,3.319762
248000.0,3.3205953
249000.0,3.308876
250000.0,3.3246942
251000.0,3.3211532
252000.0,3.321684
253000.0,3.3130674
254000.0,3.3254976
255000.0,3.3158653
256000.0,3.2976966
257000.0,3.3161721
