"step","downstreamPressure_DP107_550_0.54666666666666663_0.2365"
0,0.0036764373
1000,-0.00019223636
2000,0.001956241
3000,0.010605564
4000,0.024750162
5000,0.03203656
6000,0.047235772
7000,0.07205929
8000,0.09372231
9000,0.12305679
10000,0.15568101
11000,0.20448682
12000,0.24100329
13000,0.2816415
14000,0.3280378
15000,0.39830714
16000,0.45724845
17000,0.5014134
18000,0.58646184
19000,0.6477027
20000,0.7106726
21000,0.7219851
22000,0.8168609
23000,0.8427104
24000,0.9160784
25000,0.950694
26000,0.9838784
27000,0.9971975
28000,1.0277154
29000,1.0494903
30000,1.0244308
31000,1.1072848
32000,1.1274394
33000,1.1305013
34000,1.1452594
35000,1.1568607
36000,1.1655102
37000,1.1849554
38000,1.1909547
39000,1.2168121
40000,1.2142026
41000,1.2129176
42000,1.2173284
43000,1.2389522
44000,1.2398617
45000,1.2392149
46000,1.2387922
47000,1.2813966
48000,1.2548969
49000,1.2556393
50000,1.272309
51000,1.2683153
52000,1.2801461
53000,1.2695118
54000,1.296006
55000,1.2735366
56000,1.2801661
57000,1.2948384
58000,1.2610228
59000,1.2907622
60000,1.2952132
61000,1.2941862
62000,1.2901006
63000,1.3014836
64000,1.2977762
65000,1.305974
66000,1.2979221
67000,1.2877901
68000,1.3037517
69000,1.3217082
70000,1.2885499
71000,1.3316631
72000,1.3042367
73000,1.3141937
74000,1.3020667
75000,1.2961493
76000,1.2955158
77000,1.2876427
78000,1.294837
79000,1.305943
80000,1.2928127
81000,1.3052984
82000,1.292816
83000,1.2931951
84000,1.3028476
85000,1.2794607
86000,1.290204
87000,1.295379
88000,1.2843926
89000,1.2991898
90000,1.2907882
91000,1.2773285
92000,1.290951
93000,1.2728238
94000,1.269086
95000,1.2760001
96000,1.2829239
97000,1.2670354
98000,1.2742076
99000,1.2606282
100000,1.2645231
101000,1.2720261
102000,1.2657883
103000,1.2601161
104000,1.2447133
105000,1.262361
106000,1.2491928
107000,1.2580452
108000,1.2511364
109000,1.2510946
110000,1.2476287
111000,1.2445251
112000,1.2399821
113000,1.2526213
114000,1.2352746
115000,1.2317479
116000,1.239013
117000,1.2359397
118000,1.2136854
119000,1.2275827
120000,1.226638
121000,1.221601
122000,1.2254907
123000,1.2370236
124000,1.2232107
125000,1.2147896
126000,1.210106
127000,1.2183877
128000,1.2192049
129000,1.2134941
130000,1.2048153
131000,1.2042904
132000,1.1924376
133000,1.1933602
134000,1.2015524
135000,1.1953105
136000,1.204977
137000,1.1785855
138000,1.184252
139000,1.1892921
140000,1.172106
141000,1.1846778
142000,1.1820626
143000,1.1774046
144000,1.1811143
145000,1.1725928
146000,1.1698226
147000,1.1675386
148000,1.1778917
149000,1.1631079
150000,1.1567056
151000,1.1555966
152000,1.159683
153000,1.157432
154000,1.1573837
155000,1.1584479
156000,1.1521544
157000,1.1584637
158000,1.152098
159000,1.147569
160000,1.1421517
161000,1.1366298
162000,1.150224
163000,1.1433277
164000,1.1312063
165000,1.1494458
166000,1.1434143
167000,1.1403568
168000,1.1303272
169000,1.1335983
170000,1.1415174
171000,1.1161649
172000,1.1288295
173000,1.122204
174000,1.1235864
175000,1.1315242
176000,1.1201196
177000,1.1220839
178000,1.11514
179000,1.1221154
180000,1.0977124
181000,1.1068342
182000,1.1169735
183000,1.1282556
184000,1.127008
185000,1.1272976
186000,1.1262195
187000,1.1220679
188000,1.1184045
189000,1.1160262
190000,1.1014051
191000,1.1117065
192000,1.1069547
193000,1.1132253
194000,1.1136668
195000,1.1136101
196000,1.1136396
197000,1.1065693
198000,1.1032633
199000,1.1011872
200000,1.0976679
201000,1.0994292
202000,1.0958505
203000,1.0905768
204000,1.0890115
205000,1.0884404
206000,1.0893747
207000,1.0879802
208000,1.0956501
209000,1.079313
210000,1.076907
211000,1.0799036
212000,1.0795956
213000,1.0765723
214000,1.0852898
215000,1.0802046
216000,1.0721984
217000,1.0758469
218000,1.0742753
219000,1.0717996
220000,1.0713308
221000,1.0684069
222000,1.0666044
223000,1.0651819
224000,1.0637858
225000,1.0610011
226000,1.0626364
227000,1.0650007
228000,1.0641758
229000,1.0606959
230000,1.0598876
231000,1.0627359
232000,1.0577866
233000,1.0549866
234000,1.0552562
235000,1.0551245
236000,1.0513328
237000,1.0525882
238000,1.0517691
239000,1.0523773
240000,1.0524383
241000,1.0491095
242000,1.0469356
243000,1.0472836
244000,1.0464709
245000,1.0467983
246000,1.0442262
247000,1.043396
248000,1.0414588
249000,1.0409513
250000,1.0395222
251000,1.04092
252000,1.0358547
253000,1.0387952
254000,1.0375971
255000,1.0371699
256000,1.0385267
257000,1.0373755
258000,1.0340743
259000,1.03528
260000,1.0348115
261000,1.0335898
262000,1.0316575
263000,1.0331004
264000,1.0314193
265000,1.0302236
266000,1.0315025
267000,1.0295128
268000,1.0267862
269000,1.0287098
270000,1.0250405
271000,1.0240176
272000,1.0253389
273000,1.025765
274000,1.0247421
275000,1.0247012
276000,1.0233595
277000,1.0240813
278000,1.0222311
279000,1.0216625
280000,1.0223186
281000,1.0232308
282000,1.0206537
283000,1.0208285
284000,1.0195038
285000,1.0182798
286000,1.0177141
287000,1.0167189
288000,1.0184114
289000,1.0166466
290000,1.0172327
291000,1.0138305
292000,1.017176
293000,1.0174991
294000,1.0150816
295000,1.0161226
296000,1.0136725
297000,1.0142155
298000,1.0141048
299000,1.0129135
300000,1.0143245
