"step","upstreamPressure_DP106_489.99999999999994_0.49333333333333335_0.2255"
0,0.01031305
1000,-0.01329406
2000,0.008858573
3000,0.03822361
4000,0.10896332
5000,0.22347471
6000,0.33713162
7000,0.47813982
8000,0.58241296
9000,0.6734079
10000,0.7948886
11000,0.9877629
12000,1.1759976
13000,1.3022233
14000,1.4467454
15000,1.5929875
16000,1.7136981
17000,1.7708074
18000,1.8963474
19000,2.0185637
20000,2.0936937
21000,2.1183314
22000,2.2061172
23000,2.2233298
24000,2.259828
25000,2.4259858
26000,2.4409077
27000,2.5254784
28000,2.5414286
29000,2.574009
30000,2.491171
31000,2.619088
32000,2.663053
33000,2.6710048
34000,2.7052228
35000,2.7434437
36000,2.678775
37000,2.7193558
38000,2.769226
39000,2.7958272
40000,2.8372946
41000,2.8224258
42000,2.8408432
43000,2.870197
44000,2.8636096
45000,2.9038637
46000,2.8893843
47000,2.853949
48000,2.9264002
49000,2.9469879
50000,2.883511
51000,2.9241452
52000,2.9632945
53000,2.9841394
54000,2.8324862
55000,2.9840527
56000,3.0150714
57000,3.0141988
58000,2.9593756
59000,2.988746
60000,3.014638
61000,3.0363643
62000,3.043325
63000,3.0133462
64000,3.0185862
65000,3.0413754
66000,3.0627255
67000,3.044269
68000,3.022418
69000,2.938634
70000,3.0481253
71000,2.9849806
72000,3.0562556
73000,3.0466063
74000,3.0460114
75000,3.0468798
76000,3.0551882
77000,3.0715506
78000,3.0769305
79000,3.0770578
80000,3.0663955
81000,3.0292423
82000,3.0074105
83000,3.026104
84000,3.0505571
85000,3.0589046
86000,3.085794
87000,2.9692063
88000,3.078096
89000,3.0261204
90000,3.0978918
91000,3.0820148
92000,3.0631433
93000,3.040038
94000,3.067011
95000,3.046908
96000,3.0665345
97000,3.0520105
98000,3.0613704
99000,3.0237117
100000,3.072252
101000,3.037215
102000,3.0310774
103000,3.0761209
104000,2.9676461
105000,3.0435095
106000,3.05567
107000,3.0267305
108000,3.060854
109000,3.0267704
110000,3.0607295
111000,3.0536861
112000,3.0575447
113000,3.0468946
114000,3.0487487
115000,2.9697776
116000,3.0054698
117000,3.0130224
118000,2.9452055
119000,3.0304105
120000,2.9616776
121000,3.0404124
122000,3.0293221
123000,2.9610324
124000,3.0217533
125000,3.0389202
126000,3.0501513
127000,3.0238578
128000,3.0094922
129000,2.9134803
130000,3.0196776
131000,3.033837
132000,3.0039387
133000,3.0300035
134000,3.0350554
135000,2.9771628
136000,2.9875717
137000,2.9594712
138000,3.0280807
139000,2.8776827
140000,2.9672225
141000,3.0216727
142000,3.0129542
143000,2.9989915
144000,3.0263648
145000,2.9715264
146000,3.0024905
147000,3.020236
148000,2.9051623
149000,3.0140576
150000,2.9469285
151000,2.9964473
152000,3.0044684
153000,2.976768
154000,3.0130458
155000,2.9545498
156000,2.969646
157000,3.0033755
158000,3.001372
159000,2.996952
160000,2.906509
161000,2.976852
162000,3.0168054
163000,2.9866352
164000,2.9465137
165000,2.9822989
166000,3.0138855
167000,3.0255125
168000,2.97721
169000,3.0147502
170000,2.8676448
171000,2.954979
172000,3.0119638
173000,3.0023797
174000,3.027381
175000,2.9762068
176000,2.9935508
177000,3.0087516
178000,2.9945872
179000,2.8332968
180000,2.902981
181000,2.9030428
182000,2.962201
183000,3.01549
184000,2.9794736
185000,3.0385642
186000,3.0033743
187000,3.0410204
188000,3.0383358
189000,2.9177108
190000,2.9399765
191000,2.994821
192000,2.9665837
193000,3.018455
194000,3.006827
195000,2.9956205
196000,3.0303943
197000,3.0300884
198000,3.0083117
199000,3.0272365
200000,3.034597
201000,3.0295491
202000,3.0247726
203000,3.0272422
204000,3.0188653
205000,3.013381
206000,3.0303423
207000,3.0305731
208000,2.895515
209000,2.9405694
210000,2.9799333
211000,3.0170498
212000,3.024146
213000,3.0161471
214000,3.032557
215000,3.040372
216000,3.0283027
217000,3.033381
218000,2.9924989
219000,3.0402226
220000,3.0437346
221000,3.03014
222000,3.0480845
223000,3.0420365
224000,2.985465
225000,3.0340981
226000,3.0371141
227000,3.0476336
228000,3.0496986
229000,3.0382333
230000,3.0529857
231000,3.0206466
232000,3.0422556
233000,3.0434148
234000,3.0369074
235000,3.036714
236000,3.0436463
237000,3.0352626
238000,3.0552654
239000,3.04839
240000,3.0413303
241000,3.0574179
242000,3.0516844
243000,3.0435836
244000,3.0543413
245000,3.061341
246000,3.0522635
247000,3.0531363
248000,3.0462878
249000,3.0532248
250000,3.0534878
251000,3.0545068
252000,3.0262902
253000,3.0495374
254000,3.0586238
255000,3.0556715
256000,3.0576875
257000,3.0531428
258000,3.0584745
259000,3.0565662
260000,3.0560975
261000,3.0558195
262000,3.0582628
263000,3.061871
264000,3.0434704
265000,3.053244
266000,3.0586412
267000,3.0611062
268000,3.0608544
269000,3.0573082
270000,3.0634823
271000,3.059816
272000,3.0644617
273000,3.0572093
274000,3.0572934
275000,3.0609503
276000,3.0630772
277000,3.0633645
278000,3.0615485
279000,3.0677896
280000,3.065888
281000,3.0630493
282000,3.069716
283000,3.063819
284000,3.0609367
285000,3.0666938
286000,3.0654442
287000,3.0691943
288000,3.0687635
289000,3.0670676
290000,3.0670266
291000,3.0648038
292000,3.0706296
293000,3.0689049
294000,3.0684195
295000,3.0689383
296000,3.072117
297000,3.0687833
298000,3.0691648
299000,3.0668435
300000,3.0713365
