"step","downstreamPressure_DP166_797.50000000000011_0.94000000000000017_0.35"
0,-0.22893305
1000,0.004356016
2000,0.00020821743
3000,0.00016270707
4000,0.0014832852
5000,0.010408463
6000,-0.0062121917
7000,0.021732096
8000,0.010662121
9000,-0.012935409
10000,0.05210626
11000,0.104793556
12000,0.18727829
13000,0.20499492
14000,0.010660786
15000,0.040768016
16000,0.15670758
17000,0.29201394
18000,0.35009098
19000,0.4025135
20000,0.50532603
21000,0.55289567
22000,0.6003628
23000,0.64434433
24000,0.64235246
25000,0.7443761
26000,0.80382514
27000,0.8884723
28000,0.97914374
29000,1.0832627
30000,1.1938283
31000,1.3082491
32000,1.4184161
33000,1.5661587
34000,1.6891569
35000,1.7977895
36000,1.8833046
37000,2.0048823
38000,2.073716
39000,2.1908178
40000,2.2763891
41000,2.3716793
42000,2.4239354
43000,2.525693
44000,2.5980878
45000,2.5926452
46000,2.661469
47000,2.5511286
48000,2.7123957
49000,2.7452807
50000,2.7800164
51000,2.7389073
52000,2.7951696
53000,2.85451
54000,2.9136958
55000,2.959665
56000,3.0262942
57000,2.57323
58000,2.9271865
59000,2.982913
60000,3.0690434
61000,3.145176
62000,3.1894283
63000,3.1737385
64000,3.1872845
65000,3.203914
66000,3.1257277
67000,3.1784687
68000,3.2312522
69000,2.9992146
70000,3.212541
71000,3.3187585
72000,3.3541527
73000,3.339842
74000,3.3784606
75000,3.466282
76000,3.2593355
77000,3.3416526
78000,3.4072275
79000,3.4479122
80000,3.3018918
81000,3.3560553
82000,3.3363078
83000,3.3689792
84000,3.4085507
85000,3.3995008
86000,3.4345105
87000,3.2694225
88000,3.316208
89000,3.4270606
90000,3.4678721
91000,3.5002325
92000,3.4856098
93000,3.5557747
94000,3.4412928
95000,3.424222
96000,3.4538426
97000,3.4961755
98000,3.4338665
99000,3.4663558
100000,3.4829593
101000,3.4575014
102000,3.4781513
