"step","upstreamPressure_DP164_167.5_0.61999999999999988_0.30999999999999994"
0,0.12785117
1000,-0.0027695652
2000,-0.0094120465
3000,-0.008288369
4000,-0.003604025
5000,0.013657419
6000,0.028290447
7000,0.07983768
8000,0.17872939
9000,0.32176977
10000,0.4445268
11000,0.7791476
12000,1.3326094
13000,1.6887941
14000,0.11894311
15000,0.63816035
16000,1.3315824
17000,1.8878658
18000,2.075825
19000,2.2482502
20000,2.8760452
21000,3.1988628
22000,3.5570395
23000,4.0134964
24000,4.17393
25000,4.5248365
26000,4.847208
27000,5.06408
28000,5.2289395
29000,5.543457
30000,5.693036
31000,5.917495
32000,6.1011944
33000,6.2701044
34000,6.357032
35000,6.551092
36000,6.6786175
37000,6.8308897
38000,6.862818
39000,6.9769983
40000,7.096336
41000,7.2246947
42000,7.1834083
43000,7.33969
44000,7.423725
45000,7.6233854
46000,7.685481
47000,7.5156507
48000,7.684434
49000,7.6883144
50000,7.8129077
51000,7.8249087
52000,7.81422
53000,7.872612
54000,8.027993
55000,8.083969
56000,8.080478
57000,7.6800084
58000,8.01713
59000,8.121043
60000,8.258318
61000,8.208563
62000,8.326238
63000,8.151723
64000,8.399187
65000,8.404258
66000,8.431805
67000,8.518752
68000,8.469852
69000,7.9880877
70000,8.519062
71000,8.517607
72000,8.720936
73000,8.8070755
74000,8.680321
75000,8.828236
76000,8.507696
77000,8.651393
78000,8.941238
79000,8.978626
80000,8.77526
81000,8.907747
82000,8.806662
83000,9.043816
84000,8.999604
85000,9.011147
86000,9.0303955
87000,8.469069
88000,8.939643
89000,9.137337
90000,9.134658
91000,9.1848135
92000,9.17247
93000,9.27588
94000,9.209409
95000,9.158026
96000,9.269693
97000,9.386713
98000,9.26791
99000,9.270591
100000,9.451965
101000,9.390932
102000,9.502494
