"step","downstreamPressure_DP167_212.5_0.7_0.37"
0,-0.445529
1000,0.0046382993
2000,-2.11687e-05
3000,-0.0005975615
4000,0.0008599477
5000,0.00851188
6000,-0.0041781575
7000,0.017144334
8000,0.009763781
9000,0.004475261
10000,0.06212551
11000,0.114168935
12000,0.19031826
13000,0.21919942
14000,0.008964234
15000,0.042517904
16000,0.16503553
17000,0.32354945
18000,0.38646618
19000,0.4308829
20000,0.5257422
21000,0.5532959
22000,0.59501827
23000,0.6171698
24000,0.6057053
25000,0.70022005
26000,0.7246059
27000,0.79126865
28000,0.87432396
29000,0.9326402
30000,1.0258157
31000,1.1106056
32000,1.1843679
33000,1.2799501
34000,1.3950416
35000,1.4286664
36000,1.5013046
37000,1.5831413
38000,1.5899595
39000,1.7007229
40000,1.779417
41000,1.8259304
42000,1.8626355
43000,1.9333446
44000,1.9475257
45000,1.9428685
46000,2.0188346
47000,1.8957119
48000,2.022509
49000,2.0274942
50000,2.0590138
51000,2.0168762
52000,2.0277996
53000,2.071975
54000,2.1430693
55000,2.1058187
56000,2.1743135
57000,1.8823518
58000,2.0880141
59000,2.1845977
60000,2.223856
61000,2.30313
62000,2.3073657
63000,2.2675967
64000,2.2662842
65000,2.3193712
66000,2.26235
67000,2.349103
68000,2.404883
69000,2.2746136
70000,2.370458
71000,2.4505382
72000,2.4856184
73000,2.4683595
74000,2.497156
75000,2.6142921
76000,2.4218836
77000,2.4730754
78000,2.523128
79000,2.5555542
80000,2.450526
81000,2.497911
82000,2.488614
83000,2.487302
84000,2.5402713
85000,2.5239947
86000,2.5635753
87000,2.4354374
88000,2.4387844
89000,2.5900211
90000,2.581052
91000,2.6536183
92000,2.6013186
93000,2.6855292
94000,2.5584068
95000,2.5334744
96000,2.5948012
97000,2.6395378
98000,2.613532
99000,2.657031
100000,2.6527653
101000,2.6496153
102000,2.6580229
