"step","upstreamPressure_DP173_392.49999999999994_0.30000000000000004_0.4900000000000001"
0,0.040451854
1000,0.0015703844
2000,-0.003995161
3000,-0.008002768
4000,-0.003072607
5000,0.017123101
6000,0.029874075
7000,0.078179024
8000,0.17190391
9000,0.30033085
10000,0.41489
11000,0.74209744
12000,1.2681
13000,1.6213874
14000,0.11386664
15000,0.6227984
16000,1.2840065
17000,1.8037132
18000,1.9702854
19000,2.1239269
20000,2.724775
21000,3.0312033
22000,3.3864706
23000,3.819809
24000,3.9731174
25000,4.336499
26000,4.639793
27000,4.8404627
28000,4.992561
29000,5.2763214
30000,5.4348917
31000,5.651906
32000,5.8196993
33000,5.9696198
34000,6.0622845
35000,6.2428703
36000,6.350154
37000,6.5026855
38000,6.5345883
39000,6.6274986
40000,6.7343006
41000,6.8510084
42000,6.815919
43000,6.956089
44000,7.0333214
45000,7.2206497
46000,7.2624483
47000,7.1006575
48000,7.277385
49000,7.285273
50000,7.397558
51000,7.393368
52000,7.384554
53000,7.442537
54000,7.5781317
55000,7.635536
56000,7.6116486
57000,7.2426205
58000,7.5296574
59000,7.643537
60000,7.756621
61000,7.753501
62000,7.842514
63000,7.685607
64000,7.86759
65000,7.881347
66000,7.8981524
67000,8.001442
68000,7.9405646
69000,7.4960175
70000,7.9596634
71000,7.995598
72000,8.138664
73000,8.202872
74000,8.095101
75000,8.210749
76000,7.957006
77000,8.058601
78000,8.312643
79000,8.317404
80000,8.151049
81000,8.216034
82000,8.153793
83000,8.306828
84000,8.277326
85000,8.2781
86000,8.295326
87000,7.8163652
88000,8.229422
89000,8.371856
90000,8.346529
91000,8.3767605
92000,8.341415
93000,8.437727
94000,8.3869915
95000,8.338272
96000,8.386082
97000,8.427445
98000,8.361048
99000,8.368283
100000,8.457205
101000,8.423595
102000,8.465542
