"step","downstreamPressure_DP161_707.500-0.220-0.250-9.886-1.702-6.645-=1.70184"
0,-0.05399385
1000,0.044910792
2000,0.07824889
3000,0.12897952
4000,0.16101259
5000,0.1354694
6000,0.28748518
7000,0.3551407
8000,0.13701087
9000,0.01632322
10000,0.095921665
11000,0.28035393
12000,0.33560482
13000,0.3827893
14000,0.48540992
15000,0.6287384
16000,0.6264943
17000,0.79823303
18000,0.8896947
19000,1.0375645
20000,1.2059548
21000,1.2838596
22000,1.3446679
23000,1.4714825
24000,1.6168199
25000,1.6697187
26000,1.7232804
27000,1.8273189
28000,1.8330549
29000,1.919554
30000,1.9449441
31000,1.9786901
32000,2.0161266
33000,2.1083336
34000,2.1192565
35000,2.1042173
36000,2.1207333
37000,2.18093
38000,2.1587682
39000,2.1889617
40000,2.2630372
41000,2.2987669
42000,2.3402019
43000,2.3042169
44000,2.2831106
45000,2.298223
46000,2.3476667
47000,2.3098788
48000,2.3983617
49000,2.3978336
50000,2.3640685
51000,2.3406267
52000,2.3682482
53000,2.3427982
54000,2.3974466
55000,2.3887181
56000,2.4317188
57000,2.4212246
58000,2.426569
59000,2.4260235
60000,2.3787322
61000,2.3773484
62000,2.4147239
63000,2.4163885
64000,2.378934
65000,2.3930426
66000,2.358808
67000,2.4177313
68000,2.388042
69000,2.4135509
70000,2.4133704
71000,2.405026
72000,2.4206538
73000,2.3834162
74000,2.4051657
75000,2.4289253
76000,2.3731856
77000,2.3944688
78000,2.3964205
79000,2.40379
80000,2.3739045
81000,2.390996
82000,2.38064
83000,2.3784168
84000,2.3931007
85000,2.4022222
86000,2.3901162
87000,2.3967834
88000,2.3724432
89000,2.3928075
90000,2.3729074
91000,2.370724
92000,2.387524
93000,2.406798
94000,2.3434772
95000,2.3470953
96000,2.376974
97000,2.3518047
98000,2.3283613
99000,2.3346043
100000,2.3241224
101000,2.350487
102000,2.324932
103000,2.412171
104000,2.4038491
105000,2.4014354
106000,2.3680034
107000,2.384903
108000,2.3502913
109000,2.3596754
110000,2.3474545
111000,2.3478727
112000,2.3351398
113000,2.3255455
114000,2.3100386
115000,2.3120403
116000,2.340763
117000,2.3422532
118000,2.3429613
119000,2.3370752
120000,2.3360062
121000,2.3297966
122000,2.2907429
123000,2.2964613
124000,2.2812467
125000,2.2935514
126000,2.2976933
127000,2.2864187
128000,2.4027238
129000,2.2822475
130000,2.2985835
131000,2.2905354
132000,2.3067036
133000,2.2615566
134000,2.285134
135000,2.2634025
136000,2.260029
137000,2.2535043
138000,2.2724528
139000,2.2741165
140000,2.2452583
141000,2.2618442
142000,2.1480064
143000,2.2092812
144000,2.286852
145000,2.3277493
146000,2.3308418
147000,2.3405747
148000,2.3225532
149000,2.3348765
150000,2.3171015
151000,2.2714198
152000,2.325456
153000,2.2939453
154000,2.2590458
155000,2.2888112
156000,2.27413
157000,2.2796516
158000,2.2797017
159000,2.2819319
160000,2.2358818
161000,2.269412
162000,2.273794
163000,2.2810202
164000,2.2929993
165000,2.2324562
166000,2.2542303
167000,2.2426543
168000,2.2426264
169000,2.2645533
170000,2.246871
171000,2.2426925
172000,2.223662
173000,2.2371588
174000,2.2374427
175000,2.2286248
176000,2.2292283
177000,2.1589298
178000,2.1962085
179000,2.2244146
180000,2.2410088
181000,2.2670925
182000,2.1925726
183000,2.2362938
184000,2.244477
185000,2.25835
186000,2.2442377
187000,2.2528725
188000,2.2721348
189000,2.2449918
190000,2.2317877
191000,2.2424865
192000,2.232604
193000,2.1825707
194000,2.2188115
195000,2.22119
196000,2.2179484
197000,2.2497535
198000,2.2056925
199000,2.2224636
200000,2.2257268
201000,2.202323
202000,2.2216353
203000,2.1984637
204000,2.2067585
205000,2.2226217
206000,2.2010503
207000,2.2245383
208000,2.223129
209000,2.1723194
210000,2.2252867
211000,2.2037466
212000,2.1922703
213000,2.2018428
214000,2.1997478
215000,2.1893506
216000,2.1762228
217000,2.1885333
218000,2.1674383
219000,2.1894026
220000,2.1834478
221000,2.2061644
222000,2.1741238
223000,2.1931407
224000,2.18997
225000,2.1658466
226000,2.179603
227000,2.2363303
228000,2.1767504
229000,2.1954782
230000,2.186457
231000,2.1795566
232000,2.1728349
233000,2.1909933
234000,2.154307
235000,2.1658769
236000,2.1867962
237000,2.1733332
238000,2.1680434
239000,2.181559
240000,2.1895657
241000,2.181134
242000,2.1774647
243000,2.167842
244000,2.1743765
245000,2.1641178
246000,2.1732888
247000,2.1617024
248000,2.172772
249000,2.1690488
250000,2.153294
251000,2.1667438
252000,2.1715693
253000,2.1510992
254000,2.1699293
255000,2.1504161
256000,2.1413999
257000,2.1644497
258000,2.1086159
259000,2.1368113
260000,2.1531634
261000,2.1649818
262000,2.17181
263000,2.1636155
264000,2.1674788
265000,2.1513934
266000,2.1619735
267000,2.1576161
268000,2.1624498
269000,2.1532238
270000,2.1451647
271000,2.1621578
272000,2.1717775
273000,2.1575418
274000,2.145619
275000,2.1517298
276000,2.119673
277000,2.1316924
278000,2.141613
279000,2.1517546
280000,2.1469214
281000,2.1492672
282000,2.1734414
283000,2.156582
284000,2.1434908
285000,2.1375847
286000,2.1530805
287000,2.13805
288000,2.1450667
289000,2.1404972
290000,2.1567793
291000,2.138804
292000,2.1408072
293000,2.1518404
294000,2.1201937
295000,2.128882
296000,2.1378613
297000,2.1344895
298000,2.145904
299000,2.1147926
300000,2.1041594
