"step","upstreamPressure_DP158_752.500-0.780-0.190-9.592-1.649-6.445-=6.44549"
0,0.33340684
1000,0.19400147
2000,0.42312187
3000,0.41305485
4000,0.7549541
5000,0.36143798
6000,1.1281711
7000,1.635962
8000,-0.23873682
9000,0.91255754
10000,1.5943363
11000,1.8768907
12000,2.2373087
13000,2.248248
14000,2.8681424
15000,3.1244822
16000,3.1674056
17000,3.7146034
18000,3.9333558
19000,4.3849497
20000,4.5351543
21000,4.6620884
22000,4.8492556
23000,5.001072
24000,5.153019
25000,5.1844993
26000,5.2767305
27000,5.3053045
28000,5.506566
29000,5.606524
30000,5.6605687
31000,5.736069
32000,5.8148303
33000,5.812319
34000,5.91936
35000,5.99534
36000,5.9456205
37000,6.083002
38000,6.0919576
39000,6.1324167
40000,6.1583667
41000,6.1799645
42000,6.161133
43000,6.2576113
44000,6.2553406
45000,6.2964716
46000,6.346368
47000,6.3204947
48000,6.2469244
49000,6.3086777
50000,6.3210697
51000,6.3770113
52000,6.30521
53000,6.342721
54000,6.3713536
55000,6.404152
56000,6.4304824
57000,6.383715
58000,6.361947
59000,6.4081254
60000,6.2402883
61000,6.413757
62000,6.461604
63000,6.3607407
64000,6.3896832
65000,6.396934
66000,6.3909655
67000,6.4368076
68000,6.4056773
69000,6.4155865
70000,6.443528
71000,6.4018536
72000,6.451772
73000,6.4536276
74000,6.4740276
75000,6.4990106
76000,6.248974
77000,6.469448
78000,6.475441
79000,6.486418
80000,6.464553
81000,6.4731884
82000,6.486538
83000,6.409706
84000,6.3365445
85000,6.4964466
86000,6.421134
87000,6.514354
88000,6.492135
89000,6.5148315
90000,6.5195065
91000,6.4601316
92000,6.443744
93000,6.3252983
94000,6.4431486
95000,6.49189
96000,6.428798
97000,6.525278
98000,6.4811716
99000,6.4962626
100000,6.4842224
101000,6.526805
102000,6.496067
103000,6.4609694
104000,6.446664
105000,6.517713
106000,6.5747395
107000,6.4830475
108000,6.5015345
109000,6.566327
110000,6.5583897
111000,6.4845037
112000,6.5215936
113000,6.5354905
114000,6.4914265
115000,6.4667206
116000,6.3874416
117000,6.5101147
118000,6.4900537
119000,6.506613
120000,6.381776
121000,6.45279
122000,6.488654
123000,6.501649
124000,6.52493
125000,6.4854827
126000,6.478274
127000,6.56844
128000,6.110861
129000,6.502269
130000,6.5096197
131000,6.495067
132000,6.5268636
133000,6.489396
134000,6.50966
135000,6.456338
136000,6.513058
137000,6.4742575
138000,6.514328
139000,6.403016
140000,6.3906355
141000,6.448695
142000,6.2056556
143000,6.4737873
144000,6.5500994
145000,6.4862757
146000,6.5367517
147000,6.4591064
148000,6.536801
149000,6.504465
150000,6.5500345
151000,6.5153766
152000,6.4574337
153000,6.476226
154000,6.474169
155000,6.500304
156000,6.474389
157000,6.538776
158000,6.4203815
159000,6.5145097
160000,6.4517374
161000,6.526471
162000,6.4616256
163000,6.5114613
164000,6.4747634
165000,6.491807
166000,6.5137353
167000,6.5311813
168000,6.488652
169000,6.5196543
170000,6.540872
171000,6.4923344
172000,6.4531736
173000,6.3872347
174000,6.4770336
175000,6.469502
176000,6.497204
177000,6.345702
178000,6.480521
179000,6.498603
180000,6.5416613
181000,6.508045
182000,6.349104
183000,6.4919643
184000,6.5182676
185000,6.5539446
186000,6.508642
187000,6.48172
188000,6.5393496
189000,6.5137334
190000,6.536889
191000,6.390442
192000,6.5358696
193000,6.437439
194000,6.4948564
195000,6.4952517
196000,6.499055
197000,6.5220265
198000,6.3801513
199000,6.5093517
200000,6.4834795
201000,6.470704
202000,6.5197577
203000,6.543681
204000,6.5228033
205000,6.515598
206000,6.5072393
207000,6.5288525
208000,6.5384445
209000,6.439499
210000,6.381079
211000,6.509488
212000,6.4836607
213000,6.511054
214000,6.523027
215000,6.5068245
216000,6.397026
217000,6.493308
218000,6.382407
219000,6.4802017
220000,6.504217
221000,6.490468
222000,6.466172
223000,6.5205703
224000,6.5045295
225000,6.3017263
226000,6.498686
227000,6.421
228000,6.5178285
229000,6.525478
230000,6.539171
231000,6.4051433
232000,6.4140215
233000,6.5501213
234000,6.3566403
235000,6.4540777
236000,6.494125
237000,6.453909
238000,6.4508142
239000,6.524967
240000,6.515131
241000,6.535002
242000,6.5565896
243000,6.4719663
244000,6.547602
245000,6.49405
246000,6.496347
247000,6.402542
248000,6.519987
249000,6.518222
250000,6.504427
251000,6.5190907
252000,6.535534
253000,6.422494
254000,6.5367327
255000,6.494668
256000,6.5141063
257000,6.3172455
258000,6.4095345
259000,6.500475
260000,6.54379
261000,6.567019
262000,6.566369
263000,6.5215883
264000,6.545763
265000,6.5224733
266000,6.572429
267000,6.5236735
268000,6.546097
269000,6.4617987
270000,6.494953
271000,6.573637
272000,6.583062
273000,6.525665
274000,6.5429564
275000,6.541392
276000,6.4480906
277000,6.560778
278000,6.593026
279000,6.50732
280000,6.6023235
281000,6.5623264
282000,6.5979295
283000,6.4504957
284000,6.518766
285000,6.55897
286000,6.563174
287000,6.4830723
288000,6.5667906
289000,6.5731144
290000,6.526494
291000,6.562657
292000,6.5924335
293000,6.525624
294000,6.543299
295000,6.5741158
296000,6.589629
297000,6.5780683
298000,6.580347
299000,6.4808865
300000,6.5389357
