"step","downstreamPressure_DP159_932,50-0,66-0,21=1.38966"
0,1.2324116
1000,1.5309465
2000,1.5077457
3000,1.427035
4000,1.415062
5000,1.4255357
6000,1.4105628
7000,1.4585925
8000,1.4363837
9000,1.4713627
10000,1.4789023
11000,1.447787
12000,1.4519999
13000,1.4870479
14000,1.4438843
15000,1.4029062
16000,1.4556146
17000,1.4560599
18000,1.5225089
19000,1.4951112
20000,1.5024078
21000,1.4912088
22000,1.5357136
23000,1.5124408
24000,1.5344613
25000,1.5093241
26000,1.5403026
27000,1.5397875
28000,1.5306739
29000,1.5065655
30000,1.5440547
31000,1.5390427
32000,1.5335875
33000,1.576441
34000,1.548554
35000,1.5365946
36000,1.5574062
37000,1.5532651
38000,1.5500661
39000,1.5647111
40000,1.5625699
41000,1.550637
42000,1.554413
43000,1.5693238
44000,1.5493294
45000,1.5507643
46000,1.5536351
47000,1.5573518
48000,1.5445731
49000,1.560194
50000,1.5695871
51000,1.5579606
52000,1.5489191
53000,1.5734662
54000,1.5311522
55000,1.5628893
56000,1.5603883
57000,1.5418699
58000,1.5453777
59000,1.5507402
60000,1.538702
61000,1.5488842
62000,1.5236717
63000,1.537036
64000,1.558565
65000,1.5349853
66000,1.5675492
67000,1.5527701
68000,1.5613174
69000,1.5453807
70000,1.5365975
71000,1.5275245
72000,1.526837
73000,1.54382
74000,1.5402234
75000,1.545865
76000,1.5478846
77000,1.5423367
78000,1.5314739
79000,1.5427899
80000,1.5308046
81000,1.5397081
82000,1.5345771
83000,1.5081828
84000,1.5289874
85000,1.5405409
86000,1.5418574
87000,1.5286106
88000,1.5307038
89000,1.534507
90000,1.5447795
91000,1.5328484
92000,1.5278295
93000,1.5477831
94000,1.5452818
95000,1.5374084
96000,1.5326746
97000,1.533918
98000,1.5391343
99000,1.5350312
100000,1.5362178
