"step","upstreamPressure_DP169_527,50-0,82-0,41=7.49971"
0,1.1148152
1000,7.1267242
2000,7.27256
3000,7.2697363
4000,7.3111525
5000,7.255924
6000,7.2684937
7000,7.3029437
8000,7.298601
9000,7.304973
10000,7.3728695
11000,7.4322596
12000,7.358101
13000,7.3630905
14000,7.273899
15000,7.2834115
16000,7.3158236
17000,7.303263
18000,7.2986345
19000,7.250243
20000,7.2368293
21000,7.273141
22000,7.275984
23000,7.175749
24000,7.1985936
25000,7.1444445
26000,7.138675
27000,7.147769
28000,7.13622
29000,7.124805
30000,7.157598
31000,7.045969
32000,7.0735865
33000,7.067392
34000,7.029577
35000,7.0344367
36000,7.005436
37000,6.9720254
38000,6.983463
39000,6.961456
40000,6.971594
41000,6.9730234
42000,6.9768324
43000,7.023897
44000,6.986597
45000,6.974136
46000,6.961699
47000,6.9738817
48000,6.98584
49000,7.0025167
50000,6.98827
51000,7.0074615
52000,6.9875927
53000,6.9951897
54000,6.983374
55000,6.979741
56000,6.976538
57000,6.991625
58000,7.003463
59000,7.0280623
60000,7.023796
61000,7.051816
62000,7.0171404
63000,7.0408006
64000,7.0676827
65000,7.0343256
66000,7.0508757
67000,7.0660725
68000,7.072718
69000,7.0456877
70000,7.0664234
71000,7.0762243
72000,7.0661745
73000,7.078331
74000,7.072614
75000,7.0845985
76000,7.0921636
77000,7.114745
78000,7.099478
79000,7.103647
80000,7.0971575
81000,7.119253
82000,7.103964
83000,7.114217
84000,7.1132793
85000,7.122054
86000,7.137878
87000,7.1380315
88000,7.1558876
89000,7.142668
90000,7.13963
91000,7.1409326
92000,7.1333237
93000,7.1520853
94000,7.146877
95000,7.1532364
96000,7.1301785
97000,7.1563025
98000,7.164545
99000,7.1554174
100000,7.1453714
