"step","downstreamPressure_DP163_887,50-0,34-0,29=1.45538"
0,0.40675983
1000,-0.00220865
2000,0.0012949047
3000,-0.0032149204
4000,-0.009776011
5000,0.0018010684
6000,0.00018828857
7000,0.010950837
8000,0.028549556
9000,0.122213684
10000,-0.0025496962
11000,0.04357472
12000,0.117268205
13000,0.28226095
14000,0.44887546
15000,0.58072424
16000,0.5814357
17000,0.70650995
18000,0.73876196
19000,0.847365
20000,0.8547654
21000,1.0170145
22000,1.166749
23000,1.3139393
24000,1.5646245
25000,1.7272503
26000,1.8380971
27000,2.0141954
28000,2.1375873
29000,2.3193808
30000,2.3665218
31000,2.5383153
32000,2.622876
33000,2.7523737
34000,2.8168564
35000,2.8822918
36000,2.9132648
37000,2.9294267
38000,2.962315
39000,3.0065107
40000,2.9850574
41000,3.001554
42000,3.032455
43000,3.04079
44000,3.0224833
45000,3.0450342
46000,3.0717936
47000,3.0587354
48000,3.0362122
49000,3.0861459
50000,3.0484147
51000,3.1203766
52000,3.0535858
53000,3.0345013
54000,3.01166
55000,3.0184143
56000,3.0067558
57000,2.977514
58000,2.9941595
59000,2.9872384
60000,2.998929
61000,3.0024655
62000,2.9637105
63000,2.9795976
64000,2.9381685
65000,2.9696507
66000,2.959136
67000,2.9457889
68000,2.9288557
69000,2.9161782
70000,2.9215813
71000,2.8819423
72000,2.9081674
73000,2.8878908
74000,2.893851
75000,2.8405058
76000,2.8828714
77000,2.8492236
78000,2.8448899
79000,2.8609
80000,2.8740642
81000,2.7841272
82000,2.8532596
83000,2.8363776
84000,2.8444676
85000,2.7751343
86000,2.7894
87000,2.840446
88000,2.8028698
89000,2.8458571
90000,2.8115094
91000,2.7761078
92000,2.7163787
93000,2.7835274
94000,2.7596042
95000,2.7588687
96000,2.759328
97000,2.7625442
98000,2.721228
99000,2.7259312
100000,2.7271929
