"step","upstreamPressure_DP154_482,50-0,38-0,11=7.86321"
0,1.3292162
1000,2.8371496
2000,2.9513454
3000,2.9623682
4000,3.3002684
5000,3.1538842
6000,3.5612168
7000,3.8727107
8000,4.151251
9000,4.398888
10000,7.4079866
11000,7.334195
12000,7.3175864
13000,7.332087
14000,7.340762
15000,7.334849
16000,7.3240128
17000,7.5068517
18000,7.3374214
19000,7.5076094
20000,7.3387165
21000,7.353595
22000,7.346066
23000,7.357401
24000,7.376416
25000,7.372837
26000,7.3851757
27000,7.361831
28000,7.360443
29000,7.3402395
30000,7.3577185
31000,7.3710976
32000,7.3892064
33000,7.3714643
34000,7.395095
35000,7.3768425
36000,7.4141026
37000,7.258062
38000,7.2868853
39000,7.3109827
40000,7.357138
41000,7.3749433
42000,7.4057045
43000,7.3819284
44000,7.4043317
45000,7.4051967
46000,7.4348707
47000,7.4273577
48000,7.4308395
49000,7.469111
50000,7.4537263
51000,7.457167
52000,7.463419
53000,7.5911045
54000,7.5695877
55000,7.458176
56000,7.393405
57000,7.383115
58000,7.336458
59000,7.327305
60000,7.3306828
61000,7.3787804
62000,7.3665333
63000,7.377204
64000,7.387738
65000,7.395195
66000,7.403825
67000,7.419355
68000,7.4414806
69000,7.429696
70000,7.434654
71000,7.4298306
72000,7.4369087
73000,7.4414635
74000,7.4395056
75000,7.4598284
76000,7.4638224
77000,7.4620266
78000,7.4505033
79000,7.4623375
80000,7.4735937
81000,7.467235
82000,7.4783077
83000,7.481789
84000,7.4860573
85000,7.4779882
86000,7.4871387
87000,7.501172
88000,7.504622
89000,7.4963017
90000,7.5168734
91000,7.4999905
92000,7.486888
93000,7.4903665
94000,7.505155
95000,7.5134296
96000,7.500269
97000,7.4146285
98000,7.4297376
99000,7.4337225
100000,7.448288
