"step","downstreamPressure_DP86_145,45-0,43-0,41=7.34933"
0,0.15313241
1000,0.0029215803
2000,0.0010889678
3000,0.0027009428
4000,0.007895262
5000,0.009919552
6000,0.008137675
7000,0.022390775
8000,0.02710356
9000,0.07326618
10000,0.1720237
11000,0.0342069
12000,0.15136355
13000,0.34237123
14000,0.47085828
15000,0.5993078
16000,0.7825786
17000,0.90816444
18000,1.0626113
19000,1.1485864
20000,1.2550949
21000,1.3509758
22000,1.4973365
23000,1.5893964
24000,1.7083464
25000,1.8226544
26000,1.9229156
27000,1.947885
28000,2.075646
29000,2.1331673
30000,2.131444
31000,2.1650345
32000,2.3142142
33000,2.3569186
34000,2.5478804
35000,2.4941092
36000,2.6224864
37000,2.6109104
38000,2.6874506
39000,2.8035254
40000,2.6816645
41000,2.8430395
42000,2.8759437
43000,2.9271002
44000,2.8972836
45000,2.990997
46000,3.0636132
47000,3.094176
48000,2.983614
49000,3.352643
50000,3.3421779
51000,3.479517
52000,3.4246807
53000,3.4238555
54000,3.5477
55000,3.5420072
56000,3.550868
57000,3.6371593
58000,3.6964374
59000,3.6760135
60000,3.608709
61000,3.8838027
62000,3.8897653
63000,4.017932
64000,3.7982292
65000,3.7387643
66000,4.066849
67000,4.027368
68000,4.148107
69000,4.147496
70000,4.4132333
71000,4.302715
72000,4.3931932
73000,3.8631272
74000,4.2228374
75000,4.468372
76000,4.454028
77000,4.372799
78000,4.472138
79000,4.403221
80000,4.428837
81000,4.6558332
82000,4.547353
83000,4.714531
84000,4.6306705
85000,4.7277126
86000,3.8783035
87000,4.7401533
88000,4.864336
89000,5.0686846
90000,4.91311
91000,5.068839
92000,5.1867456
93000,5.1310835
94000,5.157842
95000,5.189431
96000,5.261116
97000,5.324203
98000,5.287383
99000,5.361514
100000,5.5113606
