"step","downstreamPressure_DP169_527,50-0,82-0,41=2.22699"
0,1.2521584
1000,2.428491
2000,2.4287724
3000,2.4779217
4000,2.3896947
5000,2.7226803
6000,2.8210561
7000,2.804316
8000,2.6321487
9000,2.31563
10000,2.451684
11000,2.567841
12000,2.6279488
13000,2.6089685
14000,2.6009955
15000,2.5617876
16000,2.569353
17000,2.5008087
18000,2.4593334
19000,2.4465
20000,2.4431052
21000,2.4259238
22000,2.3869326
23000,2.412477
24000,2.4399166
25000,2.3497758
26000,2.3260617
27000,2.3459885
28000,2.336627
29000,2.3072114
30000,2.3459885
31000,2.3818321
32000,2.3589087
33000,2.376134
34000,2.3539805
35000,2.3417263
36000,2.3200688
37000,2.318271
38000,2.349642
39000,2.3399727
40000,2.3216124
41000,2.336379
42000,2.351673
43000,2.367033
44000,2.3244596
45000,2.3475997
46000,2.365949
47000,2.3381414
48000,2.3301067
49000,2.3512712
50000,2.3547945
51000,2.364884
52000,2.3488584
53000,2.380123
54000,2.3440938
55000,2.3459759
56000,2.3690739
57000,2.353692
58000,2.354848
59000,2.349522
60000,2.3369024
61000,2.357707
62000,2.360073
63000,2.366424
64000,2.3717659
65000,2.3487873
66000,2.3754897
67000,2.3874197
68000,2.3708396
69000,2.262274
70000,2.287168
71000,2.2939186
72000,2.2973158
73000,2.3021157
74000,2.2998977
75000,2.3199792
76000,2.3389604
77000,2.3209653
78000,2.3524337
79000,2.3290706
80000,2.3281019
81000,2.3430958
82000,2.3391814
83000,2.342022
84000,2.3537002
85000,2.3375096
86000,2.3603911
87000,2.3556843
88000,2.35601
89000,2.358043
90000,2.3588648
91000,2.3495843
92000,2.3664112
93000,2.3760977
94000,2.3620806
95000,2.3935986
96000,2.3799691
97000,2.3721704
98000,2.3871155
99000,2.3904595
100000,2.3788311
