"step","upstreamPressure_DP166_797,50-0,94-0,35=6.25159"
0,1.018856
1000,3.2250478
2000,3.3634272
3000,3.6513379
4000,3.6730201
5000,4.2487936
6000,4.752095
7000,5.2065296
8000,5.456271
9000,4.709977
10000,5.0981445
11000,5.5122433
12000,5.813839
13000,5.9091864
14000,6.088768
15000,6.183345
16000,6.257526
17000,6.2459235
18000,6.3639317
19000,6.344309
20000,6.422776
21000,6.3957214
22000,6.4657497
23000,6.498431
24000,6.5260553
25000,6.535273
26000,6.5949435
27000,6.5911393
28000,6.621476
29000,6.3147
30000,6.631386
31000,6.796526
32000,6.805732
33000,6.8422394
34000,6.8303633
35000,6.818865
36000,6.8141565
37000,6.7982635
38000,6.829482
39000,6.819787
40000,6.84258
41000,6.852819
42000,6.8636847
43000,6.8867993
44000,6.828743
45000,6.9014435
46000,6.8761754
47000,6.8569202
48000,6.893085
49000,6.8669486
50000,6.8761635
51000,6.8740053
52000,6.8992944
53000,6.8823166
54000,6.8812876
55000,6.894039
56000,6.8755217
57000,6.8499613
58000,6.872483
59000,6.8726435
60000,6.850631
61000,6.8581305
62000,6.8537216
63000,6.866847
64000,6.828629
65000,6.82314
66000,6.843764
67000,6.8406334
68000,6.82368
69000,6.461685
70000,6.5695605
71000,6.6435633
72000,6.674745
73000,6.706927
74000,6.7095227
75000,6.7349625
76000,6.735839
77000,6.7384233
78000,6.734539
79000,6.743701
80000,6.7292905
81000,6.7227836
82000,6.7263246
83000,6.7263575
84000,6.710494
85000,6.71609
86000,6.6913857
87000,6.707006
88000,6.687417
89000,6.680846
90000,6.6958184
91000,6.682289
92000,6.687235
93000,6.6754866
94000,6.669279
95000,6.6366606
96000,6.653965
97000,6.6440234
98000,6.6322646
99000,6.6380377
100000,6.635538
