Arch,Const.,$W_d$,MAE DCp,MAPE DCp,ME DCp,E DCp Std
Physics,-,-,FCNN,0.8888103565673828,7.9567452256975075,-0.8888103565673828,0.2611317069590349
Data,-,500,FCNN,0.15277760338592508,0.9460181566212407,-0.04050713391113288,0.4163836533789725
Data+Physics,0.1,500,FCNN,0.02373154744720445,0.19420255146305163,-0.010488136718750063,0.03125050746629771
Data+Physics,1,500,FCNN,0.05903008466720561,0.3918135428868647,-0.02160718054580695,0.1463450489245295
Pressure Data+Physics,0.1,-,FCNN,0.05123401074600213,0.4927852613724259,0.05123401074600213,0.02229952668280339
Pressure Data+Physics,1,-,FCNN,0.05655844412994391,0.5480965745257526,0.04734255461883539,0.04360065032776173
Physics,-,-,FNN,0.14500205089187618,1.3700494888694235,-0.09861123175430304,0.1799572598622693
Data,-,500,FNN,0.6323910800000001,5.238406216957943,0.39202363999999995,0.8697353289235352
Data+Physics,0.1,500,FNN,0.10669202186584474,0.8948358719516418,-0.06853149742889411,0.11922219905467249
Data+Physics,1,500,FNN,0.14371653520965602,1.192287915785807,-0.10354727120208747,0.1935946485485465
Pressure Data+Physics,0.1,-,FNN,0.1911577378730774,1.800471764090203,-0.17955896467971807,0.1364518117914042
Pressure Data+Physics,1,-,FNN,0.35071233914184585,2.710751638872725,-0.3443449100952149,0.4820764755907815
Data+Physics,0.1,100,FNN,0.1335221686935423,1.2842404769139109,-0.10777617306518561,0.14700467654333657
Data+Physics,1,100,FNN,0.12365459642410262,1.1768865172102858,-0.09514646143722541,0.1384993451611214
