Name,P4 - Re,P6 - Ob_pos [m],P7 - Ob_H [m],P1 - Delta Cp,Diff Delta Cp [%],P8 - DSP [Pa],P10 - USP [Pa]
Arch,Const.,$W_d$,DCp Mean,DCp Std,DSP Mean,DSP Std,USP Mean,USP Std
Physics,-,-,Fully Conn.,0.8888103565673828,0.2611317069590349,0.4102468935089112,0.0703261250282683,0.1453696463165283,0.26553378374434916
Data,-,500,Fully Conn.,0.15277760338592508,0.38798590758795504,0.014155389087677005,0.020755905433841867,0.07625216513061517,0.20991702342884733
Data+Physics,0.1,500,Fully Conn.,0.02373154744720445,0.02235077235562565,0.009663148937225408,0.013187706999340715,0.013915155471801555,0.018286174446262696
Data+Physics,1,500,Fully Conn.,0.05903008466720561,0.13505690431427872,0.011343452047348023,0.014564601334179363,0.0318458969345091,0.07688033664028238
Pressure Data+Physics,0.1,-,Fully Conn.,0.05123401074600213,0.02229952668280339,0.025372535493850733,0.01975594534387164,0.013053600509643548,0.016031159472753225
Pressure Data+Physics,1,-,Fully Conn.,0.05655844412994391,0.0298844396932582,0.0245322406959534,0.021146641505454554,0.03590630698394781,0.016678103698584426
Physics,-,-,Fourier,0.14500205089187618,0.1431376403235715,0.18017483536720275,0.09929520024216701,0.1711707763824461,0.09436802848742905
Data,-,500,Fourier,0.6323910800000001,0.7051551688246589,0.36596755,0.45415906364754766,0.50924595,0.5414150036571126
Data+Physics,0.1,500,Fourier,0.10669202186584474,0.0847076378839531,0.059180435092926,0.08476866299735727,0.09464649313354476,0.11154321678643014
Data+Physics,1,500,Fourier,0.14371653520965602,0.16438894325103953,0.06783414102935793,0.07744255487166697,0.10936899575805654,0.137369167071135
Pressure Data+Physics,0.1,-,Fourier,0.1911577378730774,0.11871364548091089,0.14320932353401183,0.10362710516334929,0.11045371065521223,0.13341793845791308
Pressure Data+Physics,1,-,Fourier,0.35071233914184585,0.47722014580524946,0.07399500910186768,0.06378707580834303,0.18799371806335446,0.29887544544125144
Data+Physics,0.1,100,Fourier,0.1335221686935423,0.1227637445505992,0.16877615480041505,0.10942791538304034,0.15709784539794897,0.10303110829404291
Data+Physics,1,100,Fourier,0.12365459642410262,0.11232169536307754,0.22928594975090028,0.141798692215306,0.21705693407440166,0.14376809110494757
