Name,P4 - Re,P6 - Ob_pos [m],P7 - Ob_H [m],P1 - Delta Cp,Diff Delta Cp [%],P8 - DSP [Pa],P10 - USP [Pa]
Arch,Const.,$W_d$,DCp Mean,DCp Std,DSP Mean,DSP Std,USP Mean,USP Std
Physics,-,-,Fully Conn.,7.9567452256975075,2.0076117056572707,18.30830988849034,8.2188051881783,1.3886911271451914,1.4845825279617226
Data,-,500,Fully Conn.,0.9460181566212407,2.079546067922243,0.47676417869744625,0.5878590469604037,0.5246540555806768,1.1731629468523677
Data+Physics,0.1,500,Fully Conn.,0.19420255146305163,0.15549621022315674,0.33848679025442135,0.3967658187901015,0.14451207511737796,0.12429856435198333
Data+Physics,1,500,Fully Conn.,0.3918135428868647,0.7123631298603307,0.43839619853229767,0.5621454544794282,0.25733301252813495,0.41302038752615916
Pressure Data+Physics,0.1,-,Fully Conn.,0.4927852613724259,0.2561988375172507,1.2237709585060548,0.9564682816366168,0.13229270265175877,0.1067993282188135
Pressure Data+Physics,1,-,Fully Conn.,0.5480965745257526,0.3441979349802406,0.8509382341787427,0.5863613408699676,0.4580122023706103,0.20704799614901073
Physics,-,-,Fourier,1.3700494888694235,1.4004801628835684,8.432631863850736,7.4492220444215,2.1581694512744205,1.480635361707617
Data,-,500,Fourier,5.238406216957943,5.133394953614557,10.737154690746731,7.824448152103323,5.834096256236849,5.503778886313079
Data+Physics,0.1,500,Fourier,0.8948358719516418,0.6727217942662509,1.6882652157473985,1.1775530930028506,0.9136917188097343,0.7122690769397667
Data+Physics,1,500,Fourier,1.192287915785807,1.1744356586649787,2.1758777709351014,1.9589762000841693,1.0877507689119128,0.9686762904089956
Pressure Data+Physics,0.1,-,Fourier,1.800471764090203,1.1664442911522495,5.700322033412962,3.218697537805609,1.0793396862348346,0.7897712625881491
Pressure Data+Physics,1,-,Fourier,2.710751638872725,2.8003074686766243,2.7378301039839448,1.4866124072204188,1.7096150433318484,1.7572730714664366
Data+Physics,0.1,100,Fourier,1.2842404769139109,1.2331522333462777,7.705931522236005,7.007247448313798,1.9048259716341844,1.3956307127925882
Data+Physics,1,100,Fourier,1.1768865172102858,1.097269406373249,10.28157990217801,8.665025074804163,2.6376532395908203,1.927373778904233
