Name,P4 - Re,P6 - Ob_pos [m],P7 - Ob_H [m],P1 - Delta Cp,Diff Delta Cp [%],P8 - DSP [Pa],P10 - USP [Pa]
Arch,Const.,$W_d$,DCp Mean,DCp Std,DSP Mean,DSP Std,USP Mean,USP Std
Physics,-,-,Fully Conn.,-7.9567452256975075,2.0076117056572707,17.840907348961945,9.237655018222908,-0.5741243920747359,1.9715423423378207
Data,-,500,Fully Conn.,-0.16485353363902544,2.288658517970297,-0.0755807010852292,0.7608104998521746,-0.09971231397318685,1.2866991908524488
Data+Physics,0.1,500,Fully Conn.,-0.07034522005642144,0.24221847214109654,-0.047366902111821645,0.525037986568832,-0.05306845291834715,0.18565702845654827
Data+Physics,1,500,Fully Conn.,-0.10110678330029339,0.8113558750021055,-0.08624444792485222,0.7144819680108291,-0.07015333735468726,0.48488233741637665
Pressure Data+Physics,0.1,-,Fully Conn.,0.4927852613724259,0.2561988375172507,-1.1428224601936303,1.0566392495214862,0.0502196341890745,0.16484486869849407
Pressure Data+Physics,1,-,Fully Conn.,0.48553405453736864,0.4319053800054825,0.19558871868140432,1.0323552899611788,0.45671718413240475,0.21003764151969645
Physics,-,-,Fourier,-1.0331628556696997,1.6773687313655299,4.4188569718803565,10.478014417518313,0.06213619541087653,2.662903341182344
Data,-,500,Fourier,3.103858233371754,6.715349293207992,1.2240201898297491,13.453590984864233,1.9136837789866832,7.890800536336396
Data+Physics,0.1,500,Fourier,-0.6108972089579896,0.9500485969152245,-0.2838052649258427,2.0741501069370263,-0.6353463876093005,0.9804018514658026
Data+Physics,1,500,Fourier,-0.9035790735526824,1.4199442140610536,0.9762222246090141,2.796076688787219,-0.43091334944579285,1.4100886453502328
Pressure Data+Physics,0.1,-,Fourier,-1.7241464609123482,1.2820954167435608,3.4871279600796523,5.6359394698596805,-0.5253786512030221,1.2487902128781236
Pressure Data+Physics,1,-,Fourier,-2.663329770973007,2.847803364343863,1.5584061877848125,2.7465958756616202,-1.386021959548123,2.0353028843142393
Data+Physics,0.1,100,Fourier,-1.082175148354534,1.4226741905759834,4.688537857411251,9.405789613839321,0.13833368638159382,2.3972839029090807
Data+Physics,1,100,Fourier,-0.935319971210968,1.3195049185205143,6.012093140393047,12.178244101491863,0.49558588630947853,3.2832333936055043
